"CN 2008 - PRODCOM 2008",,
"Source","Target"
"0210 19 10","10.13.11.80"
"0210 19 20","10.13.11.80"
"0210 19 30","10.13.11.80"
"0210 19 40","10.13.11.80"
"0210 19 50","10.13.11.80"
"0210 19 60","10.13.11.80"
"0210 19 70","10.13.11.80"
"0210 19 81","10.13.11.80"
"0210 19 89","10.13.11.80"
"0210 19 90","10.13.11.80"
"0210 20 10","10.13.12.00"
"0210 20 90","10.13.12.00"
"0210 91 00","10.13.13.00"
"0210 92 00","10.13.13.00"
"0210 93 00","10.13.13.00"
"0210 99 10","10.13.13.00"
"0210 99 21","10.13.13.00"
"0210 99 29","10.13.13.00"
"0210 99 31","10.13.13.00"
"0210 99 39","10.13.13.00"
"0210 99 41","10.13.13.00"
"0210 99 49","10.13.13.00"
"0210 99 51","10.13.13.00"
"0210 99 59","10.13.13.00"
"0210 99 60","10.13.13.00"
"0210 99 71","10.13.13.00"
"0210 99 79","10.13.13.00"
"0210 99 80","10.13.13.00"
"0210 99 90","10.13.13.00"
"0302 70 00","10.20.12.00"
"0303 11 00","10.20.13.30"
"0303 19 00","10.20.13.30"
"0303 21 10","10.20.13.30"
"0303 21 20","10.20.13.30"
"0303 21 80","10.20.13.30"
"0303 22 00","10.20.13.30"
"0303 29 00","10.20.13.30"
"0303 31 10","10.20.13.30"
"0303 31 30","10.20.13.30"
"0303 31 90","10.20.13.30"
"0303 32 00","10.20.13.30"
"0303 33 00","10.20.13.30"
"0303 39 10","10.20.13.30"
"0303 39 30","10.20.13.30"
"0303 39 70","10.20.13.30"
"0303 41 11","10.20.13.30"
"0303 41 13","10.20.13.30"
"0303 41 19","10.20.13.30"
"0303 41 90","10.20.13.30"
"0303 42 12","10.20.13.30"
"0303 42 18","10.20.13.30"
"0303 42 32","10.20.13.30"
"0303 42 38","10.20.13.30"
"0303 42 52","10.20.13.30"
"0303 42 58","10.20.13.30"
"0303 42 90","10.20.13.30"
"0303 43 11","10.20.13.30"
"0303 43 13","10.20.13.30"
"0303 43 19","10.20.13.30"
