"CN 2006 - PRODCOM 2006",,
"Source","Target"
"0201 10 00","15.11.11.40"
"0201 20 20","15.11.11.40"
"0201 20 30","15.11.11.40"
"0201 20 50","15.11.11.40"
"0201 20 90","15.11.11.90"
"0201 30 00","15.11.11.90"
"0202 10 00","15.11.12.00"
"0202 20 10","15.11.12.00"
"0202 20 30","15.11.12.00"
"0202 20 50","15.11.12.00"
"0202 20 90","15.11.12.00"
"0202 30 10","15.11.12.00"
"0202 30 50","15.11.12.00"
"0202 30 90","15.11.12.00"
"0203 11 10","15.11.13.30"
"0203 11 90","15.11.13.30"
"0203 12 11","15.11.13.50"
"0203 12 19","15.11.13.50"
"0203 12 90","15.11.13.50"
"0203 19 11","15.11.13.90"
"0203 19 13","15.11.13.90"
"0203 19 15","15.11.13.90"
"0203 19 55","15.11.13.90"
"0203 19 59","15.11.13.90"
"0203 19 90","15.11.13.90"
"0203 21 10","15.11.14.30"
"0203 21 90","15.11.14.30"
"0203 22 11","15.11.14.50"
"0203 22 19","15.11.14.50"
"0203 22 90","15.11.14.50"
"0203 29 11","15.11.14.90"
"0203 29 13","15.11.14.90"
"0203 29 15","15.11.14.90"
"0203 29 55","15.11.14.90"
"0203 29 59","15.11.14.90"
"0203 29 90","15.11.14.90"
"0204 10 00","15.11.15.00"
"0204 21 00","15.11.15.00"
"0204 22 10","15.11.15.00"
"0204 22 30","15.11.15.00"
"0204 22 50","15.11.15.00"
"0204 22 90","15.11.15.00"
"0204 23 00","15.11.15.00"
"0204 30 00","15.11.16.00"
"0204 41 00","15.11.16.00"
"0204 42 10","15.11.16.00"
"0204 42 30","15.11.16.00"
"0204 42 50","15.11.16.00"
"0204 42 90","15.11.16.00"
"0204 43 10","15.11.16.00"
"0204 43 90","15.11.16.00"
"0204 50 11","15.11.17.00"
"0204 50 13","15.11.17.00"
"0204 50 15","15.11.17.00"
"0204 50 19","15.11.17.00"
"0204 50 31","15.11.17.00"
"0204 50 39","15.11.17.00"
"0204 50 51","15.11.17.00"
"0204 50 53","15.11.17.00"
"0204 50 55","15.11.17.00"
"0204 50 59","15.11.17.00"
"0204 50 71","15.11.17.00"
"0204 50 79","15.11.17.00"
"0205 00 20","15.11.18.00"
"0205 00 80","15.11.18.00"
"0206 10 10","15.11.19.00"
"0206 10 91","15.11.19.00"
"0206 10 95","15.11.19.00"
"0206 10 99","15.11.19.00"
"0206 21 00","15.11.19.00"
"0206 22 00","15.11.19.00"
"0206 29 10","15.11.19.00"
"0206 29 91","15.11.19.00"
"0206 29 99","15.11.19.00"
"0206 30 00","15.11.19.00"
"0206 41 00","15.11.19.00"
"0206 49 20","15.11.19.00"
"0206 49 80","15.11.19.00"
"0206 80 10","15.11.19.00"
"0206 80 91","15.11.19.00"
"0206 80 99","15.11.19.00"
"0206 90 10","15.11.19.00"
"0206 90 91","15.11.19.00"
"0206 90 99","15.11.19.00"
"0207 11 10","15.12.11.13"
"0207 11 30","15.12.11.13"
"0207 11 90","15.12.11.13"
"0207 12 10","15.12.12.13"
"0207 12 90","15.12.12.13"
"0207 13 10","15.12.11.53"
"0207 13 20","15.12.11.53"
"0207 13 30","15.12.11.53"
"0207 13 40","15.12.11.53"
"0207 13 50","15.12.11.53"
"0207 13 60","15.12.11.53"
"0207 13 70","15.12.11.53"
"0207 13 91","15.12.11.70"
"0207 13 99","15.12.11.70"
"0207 14 10","15.12.12.53"
"0207 14 20","15.12.12.53"
"0207 14 30","15.12.12.53"
"0207 14 40","15.12.12.53"
"0207 14 50","15.12.12.53"
"0207 14 60","15.12.12.53"
"0207 14 70","15.12.12.53"
"0207 14 91","15.12.12.75"
"0207 14 99","15.12.12.71"
"0207 24 10","15.12.11.15"
"0207 24 90","15.12.11.15"
"0207 25 10","15.12.12.15"
"0207 25 90","15.12.12.15"
"0207 26 10","15.12.11.55"
"0207 26 20","15.12.11.55"
"0207 26 30","15.12.11.55"
"0207 26 40","15.12.11.55"
"0207 26 50","15.12.11.55"
"0207 26 60","15.12.11.55"
"0207 26 70","15.12.11.55"
"0207 26 80","15.12.11.55"
"0207 26 91","15.12.11.70"
"0207 26 99","15.12.11.70"
"0207 27 10","15.12.12.55"
"0207 27 20","15.12.12.55"
"0207 27 30","15.12.12.55"
"0207 27 40","15.12.12.55"
"0207 27 50","15.12.12.55"
"0207 27 60","15.12.12.55"
"0207 27 70","15.12.12.55"
"0207 27 80","15.12.12.55"
"0207 27 91","15.12.12.75"
"0207 27 99","15.12.12.71"
"0207 32 11","15.12.11.17"
"0207 32 15","15.12.11.17"
"0207 32 19","15.12.11.17"
"0207 32 51","15.12.11.17"
"0207 32 59","15.12.11.17"
"0207 32 90","15.12.11.17"
"0207 33 11","15.12.12.17"
"0207 33 19","15.12.12.17"
"0207 33 51","15.12.12.17"
"0207 33 59","15.12.12.17"
"0207 33 90","15.12.12.17"
"0207 34 10","15.12.11.30"
"0207 34 90","15.12.11.30"
"0207 35 11","15.12.11.57"
"0207 35 15","15.12.11.57"
"0207 35 21","15.12.11.57"
"0207 35 23","15.12.11.57"
"0207 35 25","15.12.11.57"
"0207 35 31","15.12.11.57"
"0207 35 41","15.12.11.57"
"0207 35 51","15.12.11.57"
"0207 35 53","15.12.11.57"
"0207 35 61","15.12.11.57"
"0207 35 63","15.12.11.57"
"0207 35 71","15.12.11.57"
"0207 35 79","15.12.11.57"
"0207 35 91","15.12.11.70"
"0207 35 99","15.12.11.70"
"0207 36 11","15.12.12.57"
"0207 36 15","15.12.12.57"
"0207 36 21","15.12.12.57"
"0207 36 23","15.12.12.57"
"0207 36 25","15.12.12.57"
"0207 36 31","15.12.12.57"
"0207 36 41","15.12.12.57"
