"Year","PRODCOM code","CN code"
"2003","15201210","03034232"
"2003","15201210","03034238"
"2003","15201210","03034252"
"2003","15201210","03034258"
"2003","15201210","03034290"
"2003","15201210","03034311"
"2003","15201210","03034313"
"2003","15201210","03034319"
"2003","15201210","03034390"
"2003","15201210","03034411"
"2003","15201210","03034413"
"2003","15201210","03034419"
"2003","15201210","03034490"
"2003","15201210","03034511"
"2003","15201210","03034513"
"2003","15201210","03034519"
"2003","15201210","03035000"
"2003","15201210","03036011"
"2003","15201210","03036019"
"2003","15201210","03036090"
"2003","15201210","03037110"
"2003","15201210","03037130"
"2003","15201210","03037180"
"2003","15201210","03037200"
"2003","15201210","03037300"
"2003","15201210","03037430"
"2003","15201210","03037490"
"2003","15201210","03037520"
"2003","15201210","03037550"
"2003","15201210","03037590"
"2003","15201210","03037600"
"2003","15201210","03037700"
"2003","15201210","03037811"
"2003","15201210","03037812"
"2003","15201210","03037813"
"2003","15201210","03037819"
"2003","15201210","03037890"
"2003","15201230","03037911"
"2003","15201230","03037919"
"2003","15201210","03037921"
"2003","15201210","03037923"
"2003","15201210","03037929"
"2003","15201210","03037931"
"2003","15201210","03037935"
"2003","15201210","03037937"
"2003","15201210","03037941"
"2003","15201210","03037945"
"2003","15201210","03037951"
"2003","15201210","03037955"
"2003","15201210","03037958"
"2003","15201210","03037965"
"2003","15201210","03037971"
"2003","15201210","03037975"
"2003","15201210","03037981"
"2003","15201210","03037983"
"2003","15201210","03037985"
"2003","15201210","03037987"
"2003","15201210","03037988"
"2003","15201210","03037991"
"2003","15201210","03037992"
"2003","15201210","03037993"
"2003","15201210","03037994"
"2003","15201210","03037998"
"2003","15201250","03038010"
"2003","15201250","03038090"
"2003","15201190","03041013"
"2003","15201190","03041019"
"2003","15201190","03041031"
"2003","15201190","03041033"
"2003","15201190","03041035"
"2003","15201190","03041038"
"2003","15201190","03041091"
"2003","15201190","03041097"
"2003","15201190","03041098"
"2003","15201270","03042013"
"2003","15201270","03042019"
"2003","15201270","03042021"
"2003","15201270","03042029"
"2003","15201270","03042031"
"2003","15201270","03042033"
"2003","15201270","03042035"
"2003","15201270","03042037"
"2003","15201270","03042041"
"2003","15201270","03042043"
"2003","15201270","03042045"
"2003","27102010","72021120"
"2003","27102010","72021180"
"2003","27102010","72021900"
"2003","27102020","72022110"
"2003","27102020","72022190"
"2003","27102020","72022910"
"2003","27102020","72022990"
"2003","27102030","72023000"
"2003","27102040","72024110"
"2003","27102040","72024191"
"2003","27102040","72024199"
"2003","27102040","72024910"
"2003","27102040","72024950"
"2003","27102040","72024990"
"2003","27102050","72027000"
"2003","27102090","72025000"
"2003","27102090","72026000"
"2003","27102090","72028000"
"2003","27102090","72029100"
"2003","27102090","72029200"
"2003","27102090","72029300"
"2003","27102090","72029911"
"2003","27102090","72029919"
"2003","27102090","72029930"
"2003","27102090","72029980"
"2003","27103110","72071210"
"2003","27103110","72071290"
"2003","27103110","72072032"
"2003","27103110","72072039"
"2003","27103210","72189111"
"2003","27103210","72189119"
"2003","27103210","72189190"
"2003","27103310","72249015"
"2003","27104130","72192210"
"2003","27104130","72192290"
"2003","27104130","72192300"
"2003","27104130","72192400"
"2003","27104130","72209031"
"2003","27104140","72192110"
"2003","27104150","72193100"
"2003","27104150","72193210"
"2003","27104150","72193290"
"2003","27104150","72193310"
"2003","27104150","72193390"
"2003","27104150","72193410"
"2003","27104150","72193490"
"2003","27104150","72193510"
"2003","27104150","72193590"
"2003","27104150","72199010"
"2003","27104150","72199090"
"2003","27104200","72210010"
"2003","27104200","72210090"
"2003","27104310","72221111"
"2003","27104310","72221119"
"2003","27104310","72221121"
"2003","27104310","72221129"
"2003","27104310","72221191"
"2003","27104310","72221199"
"2003","27104320","72221910"
"2003","27104320","72221990"
"2003","27104320","72223010"
"2003","27104320","72224010"
"2003","27104320","72224030"
"2003","27104330","72223051"
"2003","27104330","72223091"
"2003","27105000","72252020"
"2003","27105000","72252090"
"2003","27105000","72262020"
"2003","27105000","72271000"
"2003","27105000","72281010"
"2003","27105000","72281030"
"2003","27105000","72281050"
"2003","27106020","72081000"
"2003","27106020","72082500"
"2003","27106020","72082600"
"2003","27106020","72082700"
"2003","27106020","72083600"
"2003","27106020","72083710"
"2003","27106020","72083790"
"2003","27106020","72083810"
"2003","27106020","72083890"
"2003","27106020","72083910"
"2003","27107120","72092710"
"2003","27107120","72092810"
"2003","27107120","72251990"
"2003","27107130","72251100"
"2003","27107210","72101110"
"2003","27107210","72101190"
"2003","27107210","72101211"
"2003","27107210","72101219"
"2003","27107210","72101290"
"2003","27107210","72105010"
"2003","27107210","72105090"
"2003","27107210","72107031"
"2003","27107210","72109033"
"2003","27107210","72121010"
"2003","27107210","72124010"
"2003","27107220","72102010"
"2003","27107220","72102090"
"2003","27107220","72104110"
"2003","27107220","72104190"
"2003","27107220","72104910"
"2003","27107220","72104990"
