pc2005;type;new_code
33509100;industrial services;
33509200;industrial services;
35119100;industrial services;
35119200;industrial services;
35119350;industrial services;
35129000;industrial services;
35209100;industrial services;
35209200;industrial services;
35309100;industrial services;
35309230;industrial services;
35309250;industrial services;
35309270;industrial services;
36309200;industrial services;
