"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"514048","5","010420900080","010420000080","0104 20 90","0104 20"," - - Other","Live goats (excl. pure-bred for breeding)","p/st"
"514049","3","010500000080","010020000090","0105","01"," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Live poultry, ""fowls of the species Gallus domesticus"", ducks, geese, turkeys and guinea fowls",
"514050","4","010511000010","010500000080",,"0105"," -  Weighing not more than 185 g",,
"514051","5","010511000080","010511000010","0105 11",," - - Fowls of the species Gallus domesticus","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",
"514052","6","010511110010","010511000080",,"0105 11"," - - - Grandparent and parent female chicks",,
"514053","7","010511110080","010511110010","0105 11 11",," - - - - Laying stocks","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g","p/st"
"514054","7","010511190080","010511110010","0105 11 19",," - - - - Other","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)","p/st"
"514055","6","010511910010","010511000080",,"0105 11"," - - - Other",,
"514056","7","010511910080","010511910010","0105 11 91",," - - - - Laying stocks","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)","p/st"
"514057","7","010511990080","010511910010","0105 11 99",," - - - - Other","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. turkeys, guinea fowls, grandparent and parent female chicks and laying stocks)","p/st"
"514058","5","010512000080","010511000010","0105 12 00",," - - Turkeys","Live domestic turkeys, weighing <= 185 g","p/st"
"514059","5","010519000080","010511000010","0105 19",," - - Other","Live domestic ducks, geese and guinea fowls, weighing <= 185 g",
"514060","6","010519200080","010519000080","0105 19 20","0105 19"," - - - Geese","Live domestic geese, weighing <= 185 g","p/st"
"514061","6","010519900080","010519000080","0105 19 90","0105 19"," - - - Ducks and guinea fowls","Live domestic ducks and guinea fowls, weighing <= 185 g","p/st"
"514062","4","010592000010","010500000080",,"0105"," -  Other",,
"514063","5","010592000080","010592000010","0105 92 00",," - - Fowls of the species Gallus domesticus weighing not more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg","p/st"
"514064","5","010593000080","010592000010","0105 93 00",," - - Fowls of the species Gallus domesticus weighing more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 2 kg","p/st"
"514065","5","010599000080","010592000010","0105 99",," - - Other","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",
"514066","6","010599100080","010599000080","0105 99 10","0105 99"," - - - Ducks","Live domestic ducks, weighing > 185 g","p/st"
"514067","6","010599200080","010599000080","0105 99 20","0105 99"," - - - Geese","Live domestic geese, weighing > 185 g","p/st"
"514068","6","010599300080","010599000080","0105 99 30","0105 99"," - - - Turkeys","Live domestic turkeys, weighing > 185 g","p/st"
"514069","6","010599500080","010599000080","0105 99 50","0105 99"," - - - Guinea fowls","Live domestic guinea fowls, weighing > 185 g","p/st"
"514070","3","010600000080","010020000090","0106 00","01"," Other live animals","Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",
"514071","4","010600100080","010600000080","0106 00 10","0106 00"," -  Domestic rabbits","Live domestic rabbits","p/st"
"514072","4","010600200080","010600000080","0106 00 20","0106 00"," -  Pigeons","Live pigeons","p/st"
"514073","4","010600900080","010600000080","0106 00 90","0106 00"," -  Other","Live animals (excl. horses, asses, mules, hinnies, bovines, pigs, sheep, goats, domestic poultry, domestic rabbits, pigeons, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)","-"
"514074","2","020020000090","010010000090","02"," I"," CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL","MEAT AND EDIBLE MEAT OFFAL",
"514075","3","020100000080","020020000090","0201","02"," Meat of bovine animals, fresh or chilled","Meat of bovine animals, fresh or chilled",
"514076","4","020110000080","020100000080","0201 10 00","0201"," -  Carcases and half-carcases","Carcases or half-carcases of bovine animals, fresh or chilled","-"
"514077","4","020120000080","020100000080","0201 20","0201"," -  Other cuts with bone in","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",
"514078","5","020120200080","020120000080","0201 20 20","0201 20"," - - ‘Compensated’ quarters","Compensated quarters of bovine animals with bone in, fresh or chilled","-"
"514079","5","020120300080","020120000080","0201 20 30","0201 20"," - - Unseparated or separated forequarters","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled","-"
"514080","5","020120500080","020120000080","0201 20 50","0201 20"," - - Unseparated or separated hindquarters","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled","-"
"514081","5","020120900080","020120000080","0201 20 90","0201 20"," - - Other","Fresh or chilled bovine cuts, with bone in (excl. carcases and halfcarcases, ""compensated quarters"", forequarters and hindquarters)","-"
"514082","4","020130000080","020100000080","0201 30 00","0201"," -  Boneless","Fresh or chilled bovine meat, boneless","-"
"514083","3","020200000080","020020000090","0202","02"," Meat of bovine animals, frozen","Meat of bovine animals, frozen",
"514084","4","020210000080","020200000080","0202 10 00","0202"," -  Carcases and half-carcases","Frozen bovine carcases and halfcarcases","-"
"514085","4","020220000080","020200000080","0202 20","0202"," -  Other cuts with bone in","Frozen bovine cuts, with bone in (excl. carcases and halfcarcases)",
"514086","5","020220100080","020220000080","0202 20 10","0202 20"," - - ‘Compensated’ quarters","Frozen ""compensated"" bovine quarters, with bone in","-"
"514087","5","020220300080","020220000080","0202 20 30","0202 20"," - - Unseparated or separated forequarters","Frozen unseparated or separated bovine forequarters, with bone in","-"
"514088","5","020220500080","020220000080","0202 20 50","0202 20"," - - Unseparated or separated hindquarters","Frozen unseparated or separated bovine hindquarters, with bone in","-"
"514089","5","020220900080","020220000080","0202 20 90","0202 20"," - - Other","Frozen bovine cuts, with bone in (excl. carcases and halfcarcases, ""compensated"" quarters, forequarters and hindquarters)","-"
"514090","4","020230000080","020200000080","0202 30","0202"," -  Boneless","Frozen, boneless meat of bovine animals",
"514091","5","020230100080","020230000080","0202 30 10","0202 30"," - - Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin in one peace","-"
"514092","5","020230500080","020230000080","0202 30 50","0202 30"," - - Crop, chuck and blade and brisket cuts","Frozen bovine boneless crop, chuck and blade and brisket cuts","-"
"514093","5","020230900080","020230000080","0202 30 90","0202 30"," - - Other","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin in one piece, crop, chuck and blade and brisket cuts)","-"
"514094","3","020300000080","020020000090","0203","02"," Meat of swine, fresh, chilled or frozen","Meat of swine, fresh, chilled or frozen",
"514095","4","020311000010","020300000080",,"0203"," -  Fresh or chilled",,
"514096","5","020311000080","020311000010","0203 11",," - - Carcases and half-carcases","Fresh or chilled carcases and half-carcases of swine",
"514097","6","020311100080","020311000080","0203 11 10","0203 11"," - - - Of domestic swine","Fresh or chilled domestic swine carcases and half-carcases","-"
"514098","6","020311900080","020311000080","0203 11 90","0203 11"," - - - Other","Fresh or chilled non-domestic swine carcases and half-carcases","-"
"514099","5","020312000080","020311000010","0203 12",," - - Hams, shoulders and cuts thereof, with bone in","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",
"514100","6","020312110010","020312000080",,"0203 12"," - - - Of domestic swine",,
"514101","7","020312110080","020312110010","0203 12 11",," - - - - Hams and cuts thereof","Fresh or chilled with bone in, domestic swine hams and cuts thereof","-"
"514102","7","020312190080","020312110010","0203 12 19",," - - - - Shoulders and cuts thereof","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof","-"
"514103","6","020312900080","020312000080","0203 12 90","0203 12"," - - - Other","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine","-"
"514104","5","020319000080","020311000010","0203 19",," - - Other","Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",
"514105","6","020319110010","020319000080",,"0203 19"," - - - Of domestic swine",,
"514106","7","020319110080","020319110010","0203 19 11",," - - - - Fore-ends and cuts thereof","Fresh or chilled fore-ends and cuts thereof of domestic swine","-"
"514107","7","020319130080","020319110010","0203 19 13",," - - - - Loins and cuts thereof, with bone in","Fresh or chilled loins and cuts thereof of domestic swine","-"
"514108","7","020319150080","020319110010","0203 19 15",," - - - - Bellies (streaky) and cuts thereof","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine","-"
"514109","7","020319550010","020319110010",,," - - - - Other",,
"514110","8","020319550080","020319550010","0203 19 55",," - - - - - Boneless","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)","-"
"514111","8","020319590080","020319550010","0203 19 59",," - - - - - Other","Fresh or chilled boneless meat of domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","-"
"514112","6","020319900080","020319000080","0203 19 90","0203 19"," - - - Other","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, boneless)","-"
"514113","4","020321000010","020300000080",,"0203"," -  Frozen",,
"514114","5","020321000080","020321000010","0203 21",," - - Carcases and half-carcases","Frozen carcases and half-carcases of swine",
"514115","6","020321100080","020321000080","0203 21 10","0203 21"," - - - Of domestic swine","Frozen domestic swine carcases and half-carcases","-"
"514116","6","020321900080","020321000080","0203 21 90","0203 21"," - - - Other","Frozen non-domestic swine carcases and half-carcases","-"
"514117","5","020322000080","020321000010","0203 22",," - - Hams, shoulders and cuts thereof, with bone in","Frozen hams, shoulders and cuts thereof of swine, boneless",
"514118","6","020322110010","020322000080",,"0203 22"," - - - Of domestic swine",,
"514119","7","020322110080","020322110010","0203 22 11",," - - - - Hams and cuts thereof","Frozen boneless hams and cuts thereof of domestic swine","-"
"514120","7","020322190080","020322110010","0203 22 19",," - - - - Shoulders and cuts thereof","Frozen boneless shoulders and cuts thereof of domestic swine","-"
"514121","6","020322900080","020322000080","0203 22 90","0203 22"," - - - Other","Frozen boneless hams, shoulders and cuts thereof of non-domestic swine","-"
"514122","5","020329000080","020321000010","0203 29",," - - Other","Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)",
"514123","6","020329110010","020329000080",,"0203 29"," - - - Of domestic swine",,
"514124","7","020329110080","020329110010","0203 29 11",," - - - - Fore-ends and cuts thereof","Frozen fore-ends and cuts thereof of domestic swine","-"
"514125","7","020329130080","020329110010","0203 29 13",," - - - - Loins and cuts thereof, with bone in","Frozen loins and cuts thereof of domestic swine, with bone in","-"
"514126","7","020329150080","020329110010","0203 29 15",," - - - - Bellies (streaky) and cuts thereof","Frozen bellies ""streaky"" and cuts thereof of domestic swine","-"
"514127","7","020329550010","020329110010",,," - - - - Other",,
"514128","8","020329550080","020329550010","0203 29 55",," - - - - - Boneless","Frozen boneles meat of domestic swine (excl. bellies and cuts thereof)","-"
"514129","8","020329590080","020329550010","0203 29 59",," - - - - - Other","Frozen boneless meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","-"
"514130","6","020329900080","020329000080","0203 29 90","0203 29"," - - - Other","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof)","-"
"514131","3","020400000080","020020000090","0204","02"," Meat of sheep or goats, fresh, chilled or frozen","Meat of sheep or goats, fresh, chilled or frozen",
"514132","4","020410000080","020400000080","0204 10 00","0204"," -  Carcases and half-carcases of lamb, fresh or chilled","Fresh or chilled lamb carcases and half-carcases","-"
"514133","4","020421000010","020400000080",,"0204"," -  Other meat of sheep, fresh or chilled",,
"514134","5","020421000080","020421000010","0204 21 00",," - - Carcases and half-carcases","Fresh or chilled sheep carcases and half-carcases (excl. lambs)","-"
"514135","5","020422000080","020421000010","0204 22",," - - Other cuts with bone in","Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",
"514136","6","020422100080","020422000080","0204 22 10","0204 22"," - - - Short forequarters","Fresh or chilled sheep short forequarters","-"
"514137","6","020422300080","020422000080","0204 22 30","0204 22"," - - - Chines and/or best ends","Fresh or chilled sheep chines and/or best ends","-"
"514138","6","020422500080","020422000080","0204 22 50","0204 22"," - - - Legs","Fresh or chilled sheep legs","-"
"514139","6","020422900080","020422000080","0204 22 90","0204 22"," - - - Other","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"514140","5","020423000080","020421000010","0204 23 00",," - - Boneless","Fresh or chilled boneless cuts of sheep","-"
"514141","4","020430000080","020400000080","0204 30 00","0204"," -  Carcases and half-carcases of lamb, frozen","Frozen lamb carcases and half-carcases","-"
"514142","4","020441000010","020400000080",,"0204"," -  Other meat of sheep, frozen",,
"514143","5","020441000080","020441000010","0204 41 00",," - - Carcases and half-carcases","Frozen sheep carcases and half-carcases (excl. lambs)","-"
"514144","5","020442000080","020441000010","0204 42",," - - Other cuts with bone in","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",
"514145","6","020442100080","020442000080","0204 42 10","0204 42"," - - - Short forequarters","Frozen sheep short forequarters","-"
"514146","6","020442300080","020442000080","0204 42 30","0204 42"," - - - Chines and/or best ends","Frozen sheep chines and/or best ends","-"
"514147","6","020442500080","020442000080","0204 42 50","0204 42"," - - - Legs","Frozen sheep legs","-"
"514148","6","020442900080","020442000080","0204 42 90","0204 42"," - - - Other","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"514149","5","020443000080","020441000010","0204 43",," - - Boneless","Frozen boneless cuts of sheep",
"514150","6","020443100080","020443000080","0204 43 10","0204 43"," - - - Of lamb","Frozen meat of lambs, boneless, frozen","-"
"514151","6","020443900080","020443000080","0204 43 90","0204 43"," - - - Other","Frozen meat of sheep, boneless (excl. lamb)","-"
"514152","4","020450000080","020400000080","0204 50","0204"," -  Meat of goats","Fresh, chilled or frozen meat of goats",
"514153","5","020450110010","020450000080",,"0204 50"," - - Fresh or chilled",,
"514154","6","020450110080","020450110010","0204 50 11",," - - - Carcases and half-carcases","Fresh or chilled goat carcases and half-carcases","-"
"514155","6","020450130080","020450110010","0204 50 13",," - - - Short forequarters","Fresh or chilled goat short forequarters","-"
"514156","6","020450150080","020450110010","0204 50 15",," - - - Chines and/or best ends","Fresh or chilled goat chines and/or best ends","-"
"514157","6","020450190080","020450110010","0204 50 19",," - - - Legs","Fresh or chilled legs of goat","-"
"514158","6","020450310010","020450110010",,," - - - Other",,
"514159","7","020450310080","020450310010","0204 50 31",," - - - - Cuts with bone in","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"514160","7","020450390080","020450310010","0204 50 39",," - - - - Boneless cuts","Fresh or chilled boneless cuts of goat","-"
"514161","5","020450510010","020450000080",,"0204 50"," - - Frozen",,
"514162","6","020450510080","020450510010","0204 50 51",," - - - Carcases and half-carcases","Frozen goat carcases and half-carcases","-"
"514163","6","020450530080","020450510010","0204 50 53",," - - - Short forequarters","Frozen goat short forequarters","-"
"514164","6","020450550080","020450510010","0204 50 55",," - - - Chines and/or best ends","Frozen goat chines and/or best ends","-"
"514165","6","020450590080","020450510010","0204 50 59",," - - - Legs","Frozen goat legs","-"
"514166","6","020450710010","020450510010",,," - - - Other",,
"514167","7","020450710080","020450710010","0204 50 71",," - - - - Cuts with bone in","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"514168","7","020450790080","020450710010","0204 50 79",," - - - - Boneless cuts","Frozen boneless cuts of goat","-"
"514169","3","020500000080","020020000090","0205 00","02"," Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",
"514170","4","020500110010","020500000080",,"0205 00"," -  Of horses",,
"514171","5","020500110080","020500110010","0205 00 11",," - - Fresh or chilled","Fresh or chilled meat of horses","-"
"514172","5","020500190080","020500110010","0205 00 19",," - - Frozen","Frozen meat of horses","-"
"514173","4","020500900080","020500000080","0205 00 90","0205 00"," -  Of asses, mules or hinnies","Fresh, chilled or frozen meat of asses, mules or hinnies","-"
"514174","3","020600000080","020020000090","0206","02"," Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",
"514175","4","020610000080","020600000080","0206 10","0206"," -  Of bovine animals, fresh or chilled","Fresh or chilled edible offal of bovine animals",
"514176","5","020610100080","020610000080","0206 10 10","0206 10"," - - For the manufacture of pharmaceutical products","Fresh or chilled edible bovine offal for manufacture of pharmaceutical products","-"
"514177","5","020610910010","020610000080",,"0206 10"," - - Other",,
"514178","6","020610910080","020610910010","0206 10 91",," - - - Livers","Fresh or chilled edible bovine livers (excl. for manufacture of pharmaceutical products)","-"
"514179","6","020610950080","020610910010","0206 10 95",," - - - Thick skirt and thin skirt","Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)","-"
"514180","6","020610990080","020610910010","0206 10 99",," - - - Other","Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, livers and thick and thin skirt)","-"
"514181","4","020621000010","020600000080",,"0206"," -  Of bovine animals, frozen",,
"514182","5","020621000080","020621000010","0206 21 00",," - - Tongues","Frozen edible bovine tongues","-"
"514183","5","020622000080","020621000010","0206 22 00",," - - Livers","Frozen edible bovine livers","-"
"514184","5","020629000080","020621000010","0206 29",," - - Other","Frozen edible bovine offal (excl. tongues and livers)",
"514185","6","020629100080","020629000080","0206 29 10","0206 29"," - - - For the manufacture of pharmaceutical products","Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)","-"
"514186","6","020629910010","020629000080",,"0206 29"," - - - Other",,
"514187","7","020629910080","020629910010","0206 29 91",," - - - - Thick skirt and thin skirt","Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)","-"
"514188","7","020629990080","020629910010","0206 29 99",," - - - - Other","Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)","-"
"514189","4","020630000080","020600000080","0206 30","0206"," -  Of swine, fresh or chilled","Fresh or chilled edible offal of swine",
"514190","5","020630200010","020630000080",,"0206 30"," - - Of domestic swine",,
"514191","6","020630200080","020630200010","0206 30 20",," - - - Livers","Fresh or chilled edible livers of domestic swine","-"
"514192","6","020630300080","020630200010","0206 30 30",," - - - Other","Fresh or chilled edible domestic swine offal (excl. livers)","-"
"514193","5","020630800080","020630000080","0206 30 80","0206 30"," - - Other","Fresh or chilled edible non-domestic swine offal","-"
"514194","4","020641000010","020600000080",,"0206"," -  Of swine, frozen",,
"514195","5","020641000080","020641000010","0206 41",," - - Livers","Frozen edible livers of swine",
"514196","6","020641200080","020641000080","0206 41 20","0206 41"," - - - Of domestic swine","Frozen edible livers of domestic swine","-"
"514197","6","020641800080","020641000080","0206 41 80","0206 41"," - - - Other","Frozen edible non-domestic swine livers","-"
"514198","5","020649000080","020641000010","0206 49",," - - Other","Edible offal of swine, frozen (excl. livers)",
"514199","6","020649200080","020649000080","0206 49 20","0206 49"," - - - Of domestic swine","Frozen edible offal of domestic swine (excl. livers)","-"
"514200","6","020649800080","020649000080","0206 49 80","0206 49"," - - - Other","Frozen edible offal of non-domestic swine (excl. livers)","-"
"514201","4","020680000080","020600000080","0206 80","0206"," -  Other, fresh or chilled","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies",
"514202","5","020680100080","020680000080","0206 80 10","0206 80"," - - For the manufacture of pharmaceutical products","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products","-"
"514203","5","020680910010","020680000080",,"0206 80"," - - Other",,
"514204","6","020680910080","020680910010","0206 80 91",," - - - Of horses, asses, mules and hinnies","Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)","-"
"514205","6","020680990080","020680910010","0206 80 99",," - - - Of sheep and goats","Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)","-"
"514206","4","020690000080","020600000080","0206 90","0206"," -  Other, frozen","Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",
"514207","5","020690100080","020690000080","0206 90 10","0206 90"," - - For the manufacture of pharmaceutical products","Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products","-"
"514208","5","020690910010","020690000080",,"0206 90"," - - Other",,
"514209","6","020690910080","020690910010","0206 90 91",," - - - Of horses, asses, mules and hinnies","Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)","-"
"514210","6","020690990080","020690910010","0206 90 99",," - - - Of sheep and goats","Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)","-"
