"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"318954","6","283525900080","283525000080","2835 25 90","2835 25","--- With a fluorine content of 0,005 % or more but less than 0,2 % by weight on the dry anhydrous product","Calcium hydrogenorthophosphate ""dicalcium phosphate"" with a fluorine content >= 0,005% but < 0,2% by weight on the dry anhydrous product",,
"318955","5","283526000080","283522000010","2835 26",,"-- Other phosphates of calcium","Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"")",,
"318956","6","283526100080","283526000080","2835 26 10","2835 26","--- With a fluorine content of less than 0,005 % by weight on the dry anhydrous product","Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"") with a fluorine content < 0,005% by weight on the dry anhydrous product",,
"318957","6","283526900080","283526000080","2835 26 90","2835 26","--- With a fluorine content of 0,005 % or more by weight on the dry anhydrous product","Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"") with a fluorine content >= 0,005% by weight on the dry anhydrous product",,
"318958","5","283529000080","283522000010","2835 29",,"-- Other","Phosphates (excl. phosphates of monosodium, disodium, trisodium, of potassium and of calcium)",,
"318959","6","283529100080","283529000080","2835 29 10","2835 29","--- Of triammonium","Phosphate of triammonium",,
"318960","6","283529900080","283529000080","2835 29 90","2835 29","--- Other","Phosphates (excl. phosphates of triammonium, monosodium, disodium, trisodium, of potassium and of calcium)",,
"318961","4","283531000010","283500000080",,"2835","- Polyphosphates",,,
"318962","5","283531000080","283531000010","2835 31 00",,"-- Sodium triphosphate (sodium tripolyphosphate)","Sodium triphosphate ""sodium tripolyphosphate"", whether or not chemically defined",,
"318963","5","283539000080","283531000010","2835 39 00",,"-- Other","Polyphosphates, whether or not chemically defined (excl. sodium triphosphate ""sodium tripolyphosphate"")",,
"318964","3","283600000080","280021000090","2836","28"," Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate","Carbonates; peroxocarbonates ""percarbonates""; commercial ammonium carbonate containing ammonium carbamate",,
"318965","4","283610000080","283600000080","2836 10 00","2836","- Commercial ammonium carbonate and other ammonium carbonates","Commercial ammonium carbonate and other ammonium carbonates",,
"318966","4","283620000080","283600000080","2836 20 00","2836","- Disodium carbonate","Disodium carbonate",,
"318967","4","283630000080","283600000080","2836 30 00","2836","- Sodium hydrogencarbonate (sodium bicarbonate)","Sodium hydrogencarbonate ""sodium bicarbonate""",,
"318968","4","283640000080","283600000080","2836 40 00","2836","- Potassium carbonates","Potassium carbonates",,
"318969","4","283650000080","283600000080","2836 50 00","2836","- Calcium carbonate","Calcium carbonate",,
"318970","4","283660000080","283600000080","2836 60 00","2836","- Barium carbonate","Barium carbonate",,
"318971","4","283670000080","283600000080","2836 70 00","2836","- Lead carbonates","Lead carbonates",,
"318972","4","283691000010","283600000080",,"2836","- Other",,,
"318973","5","283691000080","283691000010","2836 91 00",,"-- Lithium carbonates","Lithium carbonates",,
"318974","5","283692000080","283691000010","2836 92 00",,"-- Strontium carbonate","Strontium carbonate",,
"318975","5","283699000080","283691000010","2836 99",,"-- Other","Carbonates and peroxocarbonates ""percarbonates"" (excl. commercial ammonium carbonate and other ammonium carbonates, disodium carbonate, sodium hydrogencarbonate ""sodium bicarbonate"", potassium carbonates, calcium carbonate, barium carbonate, lead carbonate, lithium carbonates and strontium carbonate)",,
"318976","6","283699110010","283699000080",,"2836 99","--- Carbonates",,,
"318977","7","283699110080","283699110010","2836 99 11",,"---- Of magnesium; of copper","Carbonates of magnesium and of copper",,
"318978","7","283699180080","283699110010","2836 99 18",,"---- Other","Carbonates (excl. commercial ammonium carbonate and other ammonium carbonates, disodium carbonate, sodium hydrogencarbonate ""sodium bicarbonate"", potassium carbonates, calcium carbonate, barium carbonate, lead carbonate, lithium carbonates, strontium carbonate and carbonates of magnesium and of copper)",,
"318979","6","283699900080","283699000080","2836 99 90","2836 99","--- Peroxocarbonates (percarbonates)","Peroxocarbonates ""percarbonates""",,
"318980","3","283700000080","280021000090","2837","28"," Cyanides, cyanide oxides and complex cyanides","Cyanides, oxycyanides and complex cyanides",,
"318981","4","283711000010","283700000080",,"2837","- Cyanides and cyanide oxides",,,
"318982","5","283711000080","283711000010","2837 11 00",,"-- Of sodium","Sodium cyanide",,
"318983","5","283719000080","283711000010","2837 19 00",,"-- Other","Cyanides and oxycyanides (excl. sodium)",,
"318984","4","283720000080","283700000080","2837 20 00","2837","- Complex cyanides","Complex cyanides",,
"318985","3","283800000080","280021000090","2838 00 00","28"," Fulminates, cyanates and thiocyanates","Fulminates, cyanates and thiocyanates",,
"318986","3","283900000080","280021000090","2839","28"," Silicates; commercial alkali metal silicates","Silicates; commercial alkali metal silicates",,
"318987","4","283911000010","283900000080",,"2839","- Of sodium",,,
"318988","5","283911000080","283911000010","2839 11 00",,"-- Sodium metasilicates","Metasilicates of sodium, incl. commercial metasilicates",,
"318989","5","283919000080","283911000010","2839 19 00",,"-- Other","Silicates of sodium, incl. commercial silicates (excl. sodium metasilicates)",,
"318990","4","283920000080","283900000080","2839 20 00","2839","- Of potassium","Silicates of potassium, incl. commercial silicates",,
"318991","4","283990000080","283900000080","2839 90 00","2839","- Other","Silicates, incl. commercial alkali metal silicates (excl. sodium and potassium silicates)",,
"318992","3","284000000080","280021000090","2840","28"," Borates; peroxoborates (perborates)","Borates; peroxoborates ""perborates""",,
"318993","4","284011000010","284000000080",,"2840","- Disodium tetraborate (refined borax)",,,
"318994","5","284011000080","284011000010","2840 11 00",,"-- Anhydrous","Anhydrous disodium tetraborate ""refined borax""",,
"318995","5","284019000080","284011000010","2840 19",,"-- Other","Disodium tetraborate ""refined borax"" (excl. anhydrous)",,
"318996","6","284019100080","284019000080","2840 19 10","2840 19","--- Disodium tetraborate pentahydrate","Disodium tetraborate pentahydrate",,
"318997","6","284019900080","284019000080","2840 19 90","2840 19","--- Other","Disodium tetraborate ""refined borax"" (excl. anhydrous and disodium tetraborate pentahydrate)",,
"318998","4","284020000080","284000000080","2840 20","2840","- Other borates","Borates (excl. disodium tetraborate ""refined borax"")",,
"318999","5","284020100080","284020000080","2840 20 10","2840 20","-- Borates of sodium, anhydrous","Borates of sodium, anhydrous (excl. disodium tetraborate ""refined borax"")",,
"319000","5","284020900080","284020000080","2840 20 90","2840 20","-- Other","Borates (excl. of sodium, anhydrous, and disodium tetraborate ""refined borax"")",,
"319001","4","284030000080","284000000080","2840 30 00","2840","- Peroxoborates (perborates)","Peroxoborates ""perborates""",,
"319002","3","284100000080","280021000090","2841","28"," Salts of oxometallic or peroxometallic acids","Salts of oxometallic or peroxometallic acids",,
"319003","4","284110000080","284100000080","2841 10 00","2841","- Aluminates","Aluminates",,
"319004","4","284120000080","284100000080","2841 20 00","2841","- Chromates of zinc or of lead","Chromates of zinc or of lead",,
"319005","4","284130000080","284100000080","2841 30 00","2841","- Sodium dichromate","Sodium dichromate",,
"319006","4","284150000080","284100000080","2841 50 00","2841","- Other chromates and dichromates; peroxochromates","Chromates and dichromates; peroxochromates (excl. chromates of zinc or of lead and sodium dichromate)",,
"319007","4","284161000010","284100000080",,"2841","- Manganites, manganates and permanganates",,,
"319008","5","284161000080","284161000010","2841 61 00",,"-- Potassium permanganate","Potassium permanganate",,
"319009","5","284169000080","284161000010","2841 69 00",,"-- Other","Manganites, manganates and permanganates (excl. potassium permanganate)",,
"319010","4","284170000080","284100000080","2841 70 00","2841","- Molybdates","Molybdates",,
"319011","4","284180000080","284100000080","2841 80 00","2841","- Tungstates (wolframates)","Tungstates ""wolframates""",,
"319012","4","284190000080","284100000080","2841 90","2841","- Other","Salts of oxometallic or peroxometallic acids (excl. aluminates, chromates, dichromates, peroxochromates, manganites, manganates, permanganates, molybdates and tungstates ""wolframamtes"")",,
"319013","5","284190300080","284190000080","2841 90 30","2841 90","-- Zincates and vanadates","Zincates and vanadates",,
"319014","5","284190800080","284190000080","2841 90 80","2841 90","-- Other","Salts of oxometallic or peroxometallic acids (excl. aluminates, chromates, dichromates, peroxochromates, manganites, manganates, permanganates, molybdates, tungstates ""wolframamtes"", zincates and vanadates)",,
"319015","3","284200000080","280021000090","2842","28"," Other salts of inorganic acids or peroxoacids (including aluminosilicates whether or not chemically defined), other than azides","Salts of inorganic acids or peroxoacids, incl. aluminosilicates whether or not chemically defined (excl. of oxometallic or peroxometallic acids and azides)",,
"319016","4","284210000080","284200000080","2842 10 00","2842","- Double or complex silicates, including aluminosilicates whether or not chemically defined","Double or complex silicates of inorganic acids or peroxoacids, incl. aluminosilicates whether or not chemically defined",,
"319017","4","284290000080","284200000080","2842 90","2842","- Other","Salts of inorganic acids or peroxoacids (excl. of oxometallic or peroxometallic acids, double or complex silicates [incl. aluminosilicates whether or not chemically defined] and azides)",,
"319018","5","284290100080","284290000080","2842 90 10","2842 90","-- Salts, double salts or complex salts of selenium or tellurium acids","Salts, double salts or complex salts of selenium or tellurium acids",,
"319019","5","284290900080","284290000080","2842 90 90","2842 90","-- Other","Salts of inorganic acids or peroxoacids (excl. of oxometallic or peroxometallic acids, double or complex silicates [incl. aluminosilicates whether or not chemically defined], salts, double salts or complex salts of selenium or tellurium acids, and azides)",,
"319020","3","284300000010","280021000090",,"28"," VI. MISCELLANEOUS",,,
"319021","3","284300000080","280021000090","2843","28"," Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals","Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals",,
"319022","4","284310000080","284300000080","2843 10","2843","- Colloidal precious metals","Colloidal precious metals",,
"319023","5","284310100080","284310000080","2843 10 10","2843 10","-- Silver","Colloidal silver",,
"319024","5","284310900080","284310000080","2843 10 90","2843 10","-- Other","Colloidal precious metals (excl. silver)",,
"319025","4","284321000010","284300000080",,"2843","- Silver compounds",,,
"319026","5","284321000080","284321000010","2843 21 00",,"-- Silver nitrate","Silver nitrate",,
"319027","5","284329000080","284321000010","2843 29 00",,"-- Other","Silver compounds, inorganic or organic, whether or not chemically defined (excl. silver nitrate)",,
"319028","4","284330000080","284300000080","2843 30 00","2843","- Gold compounds","Gold compounds, inorganic or organic, whether or not chemically defined","g","DE: Gramm; EN: Gram; FR: Gramme"
"319029","4","284390000080","284300000080","2843 90","2843","- Other compounds; amalgams","Inorganic or organic compounds of precious metals, whether or not chemically defined (excl. silver and gold); amalgams of precious metals",,
"319030","5","284390100080","284390000080","2843 90 10","2843 90","-- Amalgams","Amalgams of precious metals",,
"319031","5","284390900080","284390000080","2843 90 90","2843 90","-- Other","Inorganic or organic compounds of precious metals, whether or not chemically defined (excl. silver and gold)","g","DE: Gramm; EN: Gram; FR: Gramme"
"319032","3","284400000080","280021000090","2844","28"," Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products","Radioactive chemical elements and radioactive isotopes, incl. their fissile or fertile chemical elements and isotopes, and their compounds; mixtures and residues containing these products",,
"319033","4","284410000080","284400000080","2844 10","2844","- Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds","Natural uranium and its compounds; alloys, dispersions, incl. cermets, ceramic products and mixtures containing natural uranium or natural uranium compound [Euratom]",,
"319034","5","284410100010","284410000080",,"2844 10","-- Natural uranium",,,
"319035","6","284410100080","284410100010","2844 10 10",,"--- Crude; waste and scrap (Euratom)","Natural uranium, crude; waste and scrap, of natural uranium [Euratom]","kg U","DE: Kilogramm Uran; EN: Kilogram of uranium; FR: Kilogramme d'uranium"
"319036","6","284410300080","284410100010","2844 10 30",,"--- Worked (Euratom)","Natural uranium, worked [Euratom]","kg U","DE: Kilogramm Uran; EN: Kilogram of uranium; FR: Kilogramme d'uranium"
"319037","5","284410500080","284410000080","2844 10 50","2844 10","-- Ferro-uranium","Alloys, dispersions incl. cermets, ceramic products and mixtures containing natural uranium with iron or compounds of natural uranium with iron ""ferro-uranium""","kg U","DE: Kilogramm Uran; EN: Kilogram of uranium; FR: Kilogramme d'uranium"
"319038","5","284410900080","284410000080","2844 10 90","2844 10","-- Other (Euratom)","Compounds of natural uranium; alloys, dispersions incl. cermets, ceramic products and mixtures containing natural uranium or compounds of natural uranium [Euratom] (excl. ferro-uranium)","kg U","DE: Kilogramm Uran; EN: Kilogram of uranium; FR: Kilogramme d'uranium"
"319039","4","284420000080","284400000080","2844 20","2844","- Uranium enriched in U 235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products","Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, incl. cermets, ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products [Euratom]",,
"319040","5","284420250010","284420000080",,"2844 20","-- Uranium enriched in U 235 and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235 or compounds of these products",,,
"319041","6","284420250080","284420250010","2844 20 25",,"--- Ferro-uranium","Alloys, dispersions incl. cermets, ceramic products and mixtures containing uranium with iron enriched in U 235 ""ferro-uranium""","gi F/S","DE: Gramm spaltbare Isotope; EN: Gram of fissile isotopes; FR: Gramme isotopes fissiles"
"319042","6","284420350080","284420250010","2844 20 35",,"--- Other (Euratom)","Uranium enriched in U 235 and its compounds; alloys, dispersions incl. cermets, ceramic products and mixtures containing uranium enriched in U 235 [Euratom] (excl. ferro-uranium)","gi F/S","DE: Gramm spaltbare Isotope; EN: Gram of fissile isotopes; FR: Gramme isotopes fissiles"
"319043","5","284420510010","284420000080",,"2844 20","-- Plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing plutonium or compounds of these products",,,
"319044","6","284420510020","284420510010",,,"--- Mixtures of uranium and plutonium",,,
"319045","7","284420510080","284420510020","2844 20 51",,"---- Ferro-uranium","Mixtures of uranium and plutonium with iron ""ferro-uranium""","gi F/S","DE: Gramm spaltbare Isotope; EN: Gram of fissile isotopes; FR: Gramme isotopes fissiles"
"319046","7","284420590080","284420510020","2844 20 59",,"---- Other (Euratom)","Mixtures of uranium and plutonium [Euratom] (excl. ferro-uranium)","gi F/S","DE: Gramm spaltbare Isotope; EN: Gram of fissile isotopes; FR: Gramme isotopes fissiles"
"319047","6","284420990080","284420510010","2844 20 99",,"--- Other","Plutonium and its compounds; alloys, dispersions incl. cermets, ceramic products and mixtures containing plutonium or compounds of this product (excl. mixtures of uranium and plutonium)","gi F/S","DE: Gramm spaltbare Isotope; EN: Gram of fissile isotopes; FR: Gramme isotopes fissiles"
"319048","4","284430000080","284400000080","2844 30","2844","- Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products","Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions, incl. cermets, ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products",,
"319049","5","284430110010","284430000080",,"2844 30","-- Uranium depleted in U 235; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235 or compounds of this product",,,
"319050","6","284430110080","284430110010","2844 30 11",,"--- Cermets","Cermets containing uranium depleted in U 235 or compounds of this product",,
"319051","6","284430190080","284430110010","2844 30 19",,"--- Other","Uranium depleted in U 235; alloys, dispersions, ceramic products and mixtures, containing uranium depleted in U 235 or compounds of this product (excl. cermets)",,
"319052","5","284430510010","284430000080",,"2844 30","-- Thorium; alloys, dispersions (including cermets), ceramic products and mixtures containing thorium or compounds of this product",,,
"319053","6","284430510080","284430510010","2844 30 51",,"--- Cermets","Cermets containing thorium or compounds of this product",,
"319054","6","284430550010","284430510010",,,"--- Other",,,
"319055","7","284430550080","284430550010","2844 30 55",,"---- Crude, waste and scrap (Euratom)","Thorium, crude; waste and scrap, of thorium [Euratom]",,
"319056","7","284430610010","284430550010",,,"---- Worked",,,
"319057","8","284430610080","284430610010","2844 30 61",,"----- Bars, rods, angles, shapes and sections, sheets and strips (Euratom)","Bars, rods, angles, shapes and sections, sheets and strips, of thorium [Euratom]",,
"319058","8","284430690080","284430610010","2844 30 69",,"----- Other (Euratom)","Thorium, worked; alloys, dispersions, ceramic products and mixtures containing thorium or compounds of this product [Euratom] (excl. cermets and bars, rods, angles, shapes and sections, sheets and strips)",,
"319059","5","284430910010","284430000080",,"2844 30","-- Compounds of uranium depleted in U 235 or of thorium, whether or not mixed together",,,
"319060","6","284430910080","284430910010","2844 30 91",,"--- Of thorium or of uranium depleted in U 235, whether or not mixed together (Euratom), other than thorium salts","Compounds of thorium or of uranium depleted in U 235, whether or not intermixed [Euratom] (excl. thorium salts)",,
"319061","6","284430990080","284430910010","2844 30 99",,"--- Other","Thorium salts",,
"319062","4","284440000080","284400000080","2844 40","2844","- Radioactive elements and isotopes and compounds other than those of subheading 2844 10, 2844 20 or 2844 30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues","Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic products and mixtures, containing these elements, isotopes and compounds; radioactive residues (excl. natural uranium, uranium enriched and depleted in U 235; plutonium, thorium and compounds of these products)",,
"319063","5","284440100080","284440000080","2844 40 10","2844 40","-- Uranium derived from U 233 and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures and compounds derived from U 233 or compounds of this product","Uranium derived from U 233 and its compounds; alloys, dispersions incl. cermets, ceramic products and mixtures containing uranium derived from U 233 or compounds of these products",,
"319064","5","284440200010","284440000080",,"2844 40","-- Other",,,
"319065","6","284440200080","284440200010","2844 40 20",,"--- Artificial radioactive isotopes (Euratom)","Artificial radioactive isotopes [Euratom]",,
"319066","6","284440300080","284440200010","2844 40 30",,"--- Compounds of artificial radioactive isotopes (Euratom)","Compounds of artificial radioactive isotopes [Euratom]",,
"319067","6","284440800080","284440200010","2844 40 80",,"--- Other","Radioactive elements, isotopes and compounds (excl. subheading 2844.10, 2844.20, 2844.30 and 2844.40.10 to 2844.40.30); alloys, dispersions incl. cermets, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues (excl. of uranium derived from U 233)",,
"319068","4","284450000080","284400000080","2844 50 00","2844","- Spent (irradiated) fuel elements (cartridges) of nuclear reactors (Euratom)","Spent ""irradiated"" fuel elements ""cartridges"" of nuclear reactors [Euratom]","gi F/S","DE: Gramm spaltbare Isotope; EN: Gram of fissile isotopes; FR: Gramme isotopes fissiles"
"319069","3","284500000080","280021000090","2845","28"," Isotopes other than those of heading 2844; compounds, inorganic or organic, of such isotopes, whether or not chemically defined","Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically defined",,
"319070","4","284510000080","284500000080","2845 10 00","2845","- Heavy water (deuterium oxide) (Euratom)","Heavy water ""deuterium oxide"" [Euratom]",,
"319071","4","284590000080","284500000080","2845 90","2845","- Other","Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically defined (excl. heavy water ""deuterium oxide"")",,
"319072","5","284590100080","284590000080","2845 90 10","2845 90","-- Deuterium and compounds thereof; hydrogen and compounds thereof, enriched in deuterium; mixtures and solutions containing these products (Euratom)","Deuterium and other compounds of deuterium; hydrogen and compounds thereof, enriched in deuterium; mixtures and solutions containing these products [Euratom] (excl. heavy water ""deuterium oxide"")",,
"319073","5","284590900080","284590000080","2845 90 90","2845 90","-- Other","Isotopes and inorganic or organic compounds of such isotopes, whether or not chemically defined (excl. deuterium, heavy water ""deuterium oxide"" and other compounds of deuterium, hydrogen and compounds thereof, enriched in deuterium, and mixtures and solutions containing these products)",,
"319074","3","284600000080","280021000090","2846","28"," Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals","Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals",,
"319075","4","284610000080","284600000080","2846 10 00","2846","- Cerium compounds","Cerium compounds",,
"319076","4","284690000080","284600000080","2846 90 00","2846","- Other","Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals (excl. cerium)",,
"319077","3","284700000080","280021000090","2847 00 00","28"," Hydrogen peroxide, whether or not solidified with urea","Hydrogen peroxide, whether or not solidified with urea","kg H2O2","DE: Kilogramm Wasserstoffperoxid; EN: Kilogram of hydrogen peroxide; FR: Kilogramme de peroxyde d'hydrogène"
"319078","3","284800000080","280021000090","2848 00 00","28"," Phosphides, whether or not chemically defined, excluding ferrophosphorus","Phosphides, whether or not chemically defined (excl. ferrophosphorus)",,
"319079","3","284900000080","280021000090","2849","28"," Carbides, whether or not chemically defined","Carbides, whether or not chemically defined",,
"319080","4","284910000080","284900000080","2849 10 00","2849","- Of calcium","Carbides of calcium, whether or not chemically defined",,
"319081","4","284920000080","284900000080","2849 20 00","2849","- Of silicon","Carbides of silicon, whether or not chemically defined",,
"319082","4","284990000080","284900000080","2849 90","2849","- Other","Carbides, whether or not chemically defined (excl. of calcium or silicon)",,
"319083","5","284990100080","284990000080","2849 90 10","2849 90","-- Of boron","Carbides of boron, whether or not chemically defined",,
"319084","5","284990300080","284990000080","2849 90 30","2849 90","-- Of tungsten","Carbides of tungsten, whether or not chemically defined",,
"319085","5","284990500080","284990000080","2849 90 50","2849 90","-- Of aluminium; of chromium; of molybdenum; of vanadium; of tantalum; of titanium","Carbides of aluminium, of chromium, of molybdenum, of vanadium, of tantalum, and of titanium, whether or not chemically defined",,
"319086","5","284990900080","284990000080","2849 90 90","2849 90","-- Other","Carbides, whether or not chemically defined (excl. of calcium, silicon, boron, tungsten, aluminium, chromium, molybdenum, vanadium, tantalum and titanium)",,
"319087","3","285000000080","280021000090","2850 00","28"," Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849","Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excl. compounds which are also carbides of heading 2849)",,
"319088","4","285000200080","285000000080","2850 00 20","2850 00","- Hydrides; nitrides","Hydrides and nitrides, whether or not chemically defined (excl. compounds which are also carbides of heading 2849)",,
"319089","4","285000500080","285000000080","2850 00 50","2850 00","- Azides","Azides, whether or not chemically defined (excl. compounds which are also carbides of heading 2849)",,
"319090","4","285000700080","285000000080","2850 00 70","2850 00","- Silicides","Silicides, whether or not chemically defined (excl. compounds which are also carbides of heading 2849)",,
"319091","4","285000900080","285000000080","2850 00 90","2850 00","- Borides","Borides, whether or not chemically defined (excl. compounds which are also carbides of heading 2849)",,
"319092","3","285100000080","280021000090","2851 00","28"," Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals","Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; liquid air, whether or not rare gases have been removed; compressed air; amalgams (other than amalgams of precious metals)",,
"319093","4","285100100080","285100000080","2851 00 10","2851 00","- Distilled and conductivity water and water of similar purity","Distilled and conductivity water and water of similar purity",,
"319094","4","285100300080","285100000080","2851 00 30","2851 00","- Liquid air (whether or not rare gases have been removed); compressed air","Liquid air, whether or not rare gases have been removed; compressed air",,
"319095","4","285100500080","285100000080","2851 00 50","2851 00","- Cyanogen chloride","Cyanogen chloride",,
"319096","4","285100800080","285100000080","2851 00 80","2851 00","- Other","Inorganic compounds, n.e.s.; amalgams other than amalgams of precious metals",,
"319097","2","290021000090","280011000090","29","VI"," CHAPTER 29 - ORGANIC CHEMICALS","ORGANIC CHEMICALS",,
"319098","3","290100000010","290021000090",,"29"," I. HYDROCARBONS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",,,
"319099","3","290100000080","290021000090","2901","29"," Acyclic hydrocarbons","Acyclic hydrocarbons",,
"319100","4","290110000080","290100000080","2901 10 00","2901","- Saturated","Saturated acyclic hydrocarbons",,
"319101","4","290121000010","290100000080",,"2901","- Unsaturated",,,
"319102","5","290121000080","290121000010","2901 21 00",,"-- Ethylene","Ethylene",,
"319103","5","290122000080","290121000010","2901 22 00",,"-- Propene (propylene)","Propene ""propylene""",,
"319104","5","290123000080","290121000010","2901 23",,"-- Butene (butylene) and isomers thereof","Butene ""butylene"" and isomers thereof",,
"319105","6","290123100080","290123000080","2901 23 10","2901 23","--- But-1-ene and but-2-ene","But-1-ene and but-2-ene",,
"319106","6","290123900080","290123000080","2901 23 90","2901 23","--- Other","Butene ""butylene"" and isomers thereof (excl. but-1-ene and but-2-ene)",,
"319107","5","290124000080","290121000010","2901 24",,"-- Buta-1,3-diene and isoprene","Buta-1,3-diene and isoprene",,
"319108","6","290124100080","290124000080","2901 24 10","2901 24","--- Buta-1,3-diene","Buta-1,3-diene",,
"319109","6","290124900080","290124000080","2901 24 90","2901 24","--- Isoprene","Isoprene",,
"319110","5","290129000080","290121000010","2901 29 00",,"-- Other","Hydrocarbons, acyclic, unsaturated (excl. ethylene, propene ""propylene"", butene ""butylene"" and isomers thereof and Buta-1,3-diene and isoprene)",,
"319111","3","290200000080","290021000090","2902","29"," Cyclic hydrocarbons","Cyclic hydrocarbons",,
"319112","4","290211000010","290200000080",,"2902","- Cyclanes, cyclenes and cycloterpenes",,,
"319113","5","290211000080","290211000010","2902 11 00",,"-- Cyclohexane","Cyclohexane",,
"319114","5","290219000080","290211000010","2902 19",,"-- Other","Cyclanes, cyclenes and cycloterpenes (excl. cyclohexane)",,
"319115","6","290219100080","290219000080","2902 19 10","2902 19","--- Cycloterpenes","Cycloterpenes",,
"319116","6","290219800080","290219000080","2902 19 80","2902 19","--- Other","Hydrocarbons, alicyclic (excl. cyclohexane and cycloterpenes)",,
"319117","4","290220000080","290200000080","2902 20 00","2902","- Benzene","Benzene",,
"319118","4","290230000080","290200000080","2902 30 00","2902","- Toluene","Toluene",,
"319119","4","290241000010","290200000080",,"2902","- Xylenes",,,
"319120","5","290241000080","290241000010","2902 41 00",,"-- o-Xylene","o-Xylene",,
"319121","5","290242000080","290241000010","2902 42 00",,"-- m-Xylene","m-Xylene",,
"319122","5","290243000080","290241000010","2902 43 00",,"-- p-Xylene","p-Xylene",,
"319123","5","290244000080","290241000010","2902 44 00",,"-- Mixed xylene isomers","Mixed xylene isomers",,
"319124","4","290250000080","290200000080","2902 50 00","2902","- Styrene","Styrene",,
"319125","4","290260000080","290200000080","2902 60 00","2902","- Ethylbenzene","Ethylbenzene",,
"319126","4","290270000080","290200000080","2902 70 00","2902","- Cumene","Cumene",,
"319127","4","290290000080","290200000080","2902 90","2902","- Other","Cyclic hydrocarbons (excl. cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene and cumene)",,
"319128","5","290290100080","290290000080","2902 90 10","2902 90","-- Naphthalene and anthracene","Naphthalene and anthracene",,
"319129","5","290290300080","290290000080","2902 90 30","2902 90","-- Biphenyl and terphenyls","Biphenyl and terphenyls",,
"319130","5","290290900080","290290000080","2902 90 90","2902 90","-- Other","Cyclic hydrocarbons (excl. cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene, cumene, naphthalene, anthracene, biphenyl and terphenyls)",,
"319131","3","290300000080","290021000090","2903","29"," Halogenated derivatives of hydrocarbons","Halogenated derivatives of hydrocarbons",,
"319132","4","290311000010","290300000080",,"2903","- Saturated chlorinated derivatives of acyclic hydrocarbons",,,
"319133","5","290311000080","290311000010","2903 11 00",,"-- Chloromethane (methyl chloride) and chloroethane (ethyl chloride)","Chloromethane ""methyl chloride"" and chloroethane ""ethyl chloride""",,
"319134","5","290312000080","290311000010","2903 12 00",,"-- Dichloromethane (methylene chloride)","Dichloromethane ""methylene chloride""",,
"319135","5","290313000080","290311000010","2903 13 00",,"-- Chloroform (trichloromethane)","Chloroform ""trichloromethane""",,
"319136","5","290314000080","290311000010","2903 14 00",,"-- Carbon tetrachloride","Carbon tetrachloride",,
