"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"314758","6","010391100080","010391000080","0103 91 10","0103 91","--- Domestic species","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314759","6","010391900080","010391000080","0103 91 90","0103 91","--- Other","Live non-domestic swine, weighing < 50 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314760","5","010392000080","010391000010","0103 92",,"-- Weighing 50 kg or more","Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",,
"314761","6","010392110010","010392000080",,"0103 92","--- Domestic species",,,
"314762","7","010392110080","010392110010","0103 92 11",,"---- Sows having farrowed at least once, of a weight of not less than 160 kg","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314763","7","010392190080","010392110010","0103 92 19",,"---- Other","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314764","6","010392900080","010392000080","0103 92 90","0103 92","--- Other","Live non-domestic swine, weighing >= 50 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314765","3","010400000080","010021000090","0104","01"," Live sheep and goats","Live sheep and goats",,
"314766","4","010410000080","010400000080","0104 10","0104","- Sheep","Live sheep",,
"314767","5","010410100080","010410000080","0104 10 10","0104 10","-- Pure-bred breeding animals","Pure-bred sheep for breeding","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314768","5","010410300010","010410000080",,"0104 10","-- Other",,,
"314769","6","010410300080","010410300010","0104 10 30",,"--- Lambs (up to a year old)","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314770","6","010410800080","010410300010","0104 10 80",,"--- Other","Live sheep (excl. lambs and pure-bred breeding animals)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314771","4","010420000080","010400000080","0104 20","0104","- Goats","Live goats",,
"314772","5","010420100080","010420000080","0104 20 10","0104 20","-- Pure-bred breeding animals","Pure-bred breeding goats","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314773","5","010420900080","010420000080","0104 20 90","0104 20","-- Other","Live goats (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314774","3","010500000080","010021000090","0105","01"," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",,
"314775","4","010511000010","010500000080",,"0105","- Weighing not more than 185 g",,,
"314776","5","010511000080","010511000010","0105 11",,"-- Fowls of the species Gallus domesticus","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",,
"314777","6","010511110010","010511000080",,"0105 11","--- Grandparent and parent female chicks",,,
"314778","7","010511110080","010511110010","0105 11 11",,"---- Laying stocks","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314779","7","010511190080","010511110010","0105 11 19",,"---- Other","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314780","6","010511910010","010511000080",,"0105 11","--- Other",,,
