"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"484974","3","010500000080","010020000090","0105","01","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",
"484975","4","010511000010","010500000080",,"0105","Weighing not more than 185 g",,
"484976","5","010511000080","010511000010","0105 11",,"Fowls of the species Gallus domesticus","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",
"484977","6","010511110010","010511000080",,"0105 11","Grandparent and parent female chicks",,
"484978","7","010511110080","010511110010","0105 11 11",,"Laying stocks","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g","p/st"
"484979","7","010511190080","010511110010","0105 11 19",,"Other","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)","p/st"
"484980","6","010511910010","010511000080",,"0105 11","Other",,
"484981","7","010511910080","010511910010","0105 11 91",,"Laying stocks","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)","p/st"
"484982","7","010511990080","010511910010","0105 11 99",,"Other","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. turkeys, guinea fowls, grandparent and parent female chicks and laying stocks)","p/st"
"484983","5","010512000080","010511000010","0105 12 00",,"Turkeys","Live domestic turkeys, weighing <= 185 g","p/st"
"484984","5","010519000080","010511000010","0105 19",,"Other","Live domestic ducks, geese and guinea fowls, weighing <= 185 g",
"484985","6","010519200080","010519000080","0105 19 20","0105 19","Geese","Live domestic geese, weighing <= 185 g","p/st"
"484986","6","010519900080","010519000080","0105 19 90","0105 19","Ducks and guinea fowls","Live domestic ducks and guinea fowls, weighing <= 185 g","p/st"
"484987","4","010592000010","010500000080",,"0105","Other",,
"484988","5","010592000080","010592000010","0105 92 00",,"Fowls of the species Gallus domesticus weighing not more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg","p/st"
"484989","5","010593000080","010592000010","0105 93 00",,"Fowls of the species Gallus domesticus weighing more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 2 kg","p/st"
"484990","5","010599000080","010592000010","0105 99",,"Other","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",
