"Order","Level","Code","Parent","Code","Parent","Supplementary unit","Description","Self-explanatory texts","Description of supplementary unit","Unit","Explanatory notes","Unit","Illustration","Illustration"
"51716","7","010392190080","010392110010","0103 92 19",,"p/st","- - - - Other","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)","Number of items",,,,,
"51717","6","010392900080","010392000080","0103 92 90","0103 92","p/st","- - - Other","Live non-domestic swine, weighing >= 50 kg","Number of items",,,,,
"51718","3","010400000080","010020000090","0104","01",,"Live sheep and goats","Live sheep and goats",,,,,,
"51719","4","010410000080","010400000080","0104 10","0104",,"- Sheep","Live sheep",,,,,,
"51720","5","010410100080","010410000080","0104 10 10","0104 10","p/st","- - Pure-bred breeding animals","Pure-bred sheep for breeding","Number of items",,,,,
"51721","5","010410300010","010410000080",,"0104 10",,"- - Other",,,,,,,
"51722","6","010410300080","010410300010","0104 10 30",,"p/st","- - - Lambs (up to a year old)","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)","Number of items",,,,,
"51723","6","010410800080","010410300010","0104 10 80",,"p/st","- - - Other","Live sheep (excl. lambs and pure-bred breeding animals)","Number of items",,,,,
"51724","4","010420000080","010400000080","0104 20","0104",,"- Goats","Live goats",,,"<P>&nbsp;</P>",,,
"51725","5","010420100080","010420000080","0104 20 10","0104 20","p/st","- - Pure-bred breeding animals","Pure-bred breeding goats","Number of items",,,,,
"51726","5","010420900080","010420000080","0104 20 90","0104 20","p/st","- - Other","Live goats (excl. pure-bred for breeding)","Number of items",,,,,
"51727","3","010500000080","010020000090","0105","01",,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",,,,,,
"51728","4","010511000010","010500000080",,"0105",,"- Weighing not more than 185 g",,,,,,,
"51729","5","010511000080","010511000010","0105 11",,,"- - Fowls of the species Gallus domesticus","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",,,,,,
"51730","6","010511110010","010511000080",,"0105 11",,"- - - Grandparent and parent female chicks",,,,,,,
"51731","7","010511110080","010511110010","0105 11 11",,"p/st","- - - - Laying stocks","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g","Number of items",,,,,
"51732","7","010511190080","010511110010","0105 11 19",,"p/st","- - - - Other","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)","Number of items",,,,,
"51733","6","010511910010","010511000080",,"0105 11",,"- - - Other",,,,,,,
"51734","7","010511910080","010511910010","0105 11 91",,"p/st","- - - - Laying stocks","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)","Number of items",,,,,
"51735","7","010511990080","010511910010","0105 11 99",,"p/st","- - - - Other","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. turkeys, guinea fowls, grandparent and parent female chicks and laying stocks)","Number of items",,,,,
"51736","5","010512000080","010511000010","0105 12 00",,"p/st","- - Turkeys","Live domestic turkeys, weighing <= 185 g","Number of items",,,,,
"51737","5","010519000080","010511000010","0105 19",,,"- - Other","Live domestic ducks, geese and guinea fowls, weighing <= 185 g",,,,,,
"51738","6","010519200080","010519000080","0105 19 20","0105 19","p/st","- - - Geese","Live domestic geese, weighing <= 185 g","Number of items",,,,,
"51739","6","010519900080","010519000080","0105 19 90","0105 19","p/st","- - - Ducks and guinea fowls","Live domestic ducks and guinea fowls, weighing <= 185 g","Number of items",,,,,
"51740","4","010592000010","010500000080",,"0105",,"- Other",,,,,,,
"51741","5","010592000080","010592000010","0105 92 00",,"p/st","- - Fowls of the species Gallus domesticus weighing not more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg","Number of items",,,,,
"51742","5","010593000080","010592000010","0105 93 00",,"p/st","- - Fowls of the species Gallus domesticus weighing more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 2 kg","Number of items",,,,,
"51743","5","010599000080","010592000010","0105 99",,,"- - Other","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",,,,,,
"51744","6","010599100080","010599000080","0105 99 10","0105 99","p/st","- - - Ducks","Live domestic ducks, weighing > 185 g","Number of items",,,,,
"51745","6","010599200080","010599000080","0105 99 20","0105 99","p/st","- - - Geese","Live domestic geese, weighing > 185 g","Number of items",,,,,
"51746","6","010599300080","010599000080","0105 99 30","0105 99","p/st","- - - Turkeys","Live domestic turkeys, weighing > 185 g","Number of items",,,,,
"51747","6","010599500080","010599000080","0105 99 50","0105 99","p/st","- - - Guinea fowls","Live domestic guinea fowls, weighing > 185 g","Number of items",,,,,
"51748","3","010600000080","010020000090","0106","01",,"Other live animals","Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",,,,,,
"51749","4","010611000010","010600000080",,"0106",,"- Mammals",,,,,,,
"51750","5","010611000080","010611000010","0106 11 00",,"p/st","- - Primates","Live primates","Number of items",,,,,
"51751","5","010612000080","010611000010","0106 12 00",,"p/st","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","Live whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia""","Number of items",,,,,
"51752","5","010619000080","010611000010","0106 19",,,"- - Other","Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",,,,,,
"51753","6","010619100080","010619000080","0106 19 10","0106 19","p/st","- - - Domestic rabbits","Live domestic rabbits","Number of items",,,,,
"51754","6","010619900080","010619000080","0106 19 90","0106 19",,"- - - Other","Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", horses, asses, mules, hinnies, bovines, pigs, sheep, goats and domestic rabbits)",,,,,,
"51755","4","010620000080","010600000080","0106 20 00","0106","p/st","- Reptiles (including snakes and turtles)","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""","Number of items",,,,,
"51756","4","010631000010","010600000080",,"0106",,"- Birds",,,,,,,
"51757","5","010631000080","010631000010","0106 31 00",,"p/st","- - Birds of prey","Live birds of prey","Number of items",,,,,
"51758","5","010632000080","010631000010","0106 32 00",,"p/st","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""","Number of items",,,,,
"51759","5","010639000080","010631000010","0106 39",,,"- - Other","Live birds (excl. birds of prey and psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"")",,,,,,
"51760","6","010639100080","010639000080","0106 39 10","0106 39","p/st","- - - Pigeons","Live pigeons","Number of items",,,,,
"51761","6","010639900080","010639000080","0106 39 90","0106 39",,"- - - Other","Live birds (excl. birds of prey, psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"" and pigeons)",,,,,,
"51762","4","010690000080","010600000080","0106 90 00","0106",,"- Other","Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",,,,,,
"51763","2","020020000090","010010000090","02"," I",,"CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL","MEAT AND EDIBLE MEAT OFFAL",,,,,,
"51764","3","020100000080","020020000090","0201","02",,"Meat of bovine animals, fresh or chilled","Meat of bovine animals, fresh or chilled",,,,,,
"51765","4","020110000080","020100000080","0201 10 00","0201",,"- Carcases and half-carcases","Carcases or half-carcases of bovine animals, fresh or chilled",,,,,,
"51766","4","020120000080","020100000080","0201 20","0201",,"- Other cuts with bone in","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",,,,,,
"51767","5","020120200080","020120000080","0201 20 20","0201 20",,"- - ‘Compensated’ quarters","""Compensated"" quarters of bovine animals with bone in, fresh or chilled",,,,,,
"51768","5","020120300080","020120000080","0201 20 30","0201 20",,"- - Unseparated or separated forequarters","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled",,,,,,
"51769","5","020120500080","020120000080","0201 20 50","0201 20",,"- - Unseparated or separated hindquarters","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled",,,,,,
"51770","5","020120900080","020120000080","0201 20 90","0201 20",,"- - Other","Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)",,,,,,
"51771","4","020130000080","020100000080","0201 30 00","0201",,"- Boneless","Fresh or chilled bovine meat, boneless",,,,,,
"51772","3","020200000080","020020000090","0202","02",,"Meat of bovine animals, frozen","Meat of bovine animals, frozen",,,,,,
"51773","4","020210000080","020200000080","0202 10 00","0202",,"- Carcases and half-carcases","Frozen bovine carcases and half-carcases",,,,,,
"51774","4","020220000080","020200000080","0202 20","0202",,"- Other cuts with bone in","Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",,,,,,
"51775","5","020220100080","020220000080","0202 20 10","0202 20",,"- - ‘Compensated’ quarters","Frozen ""compensated"" bovine quarters, with bone in",,,,,,
"51776","5","020220300080","020220000080","0202 20 30","0202 20",,"- - Unseparated or separated forequarters","Frozen unseparated or separated bovine forequarters, with bone in",,,,,,
"51777","5","020220500080","020220000080","0202 20 50","0202 20",,"- - Unseparated or separated hindquarters","Frozen unseparated or separated bovine hindquarters, with bone in",,,,,,
"51778","5","020220900080","020220000080","0202 20 90","0202 20",,"- - Other","Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)",,,,,,
"51779","4","020230000080","020200000080","0202 30","0202",,"- Boneless","Frozen, boneless meat of bovine animals",,,,,,
"51780","5","020230100080","020230000080","0202 30 10","0202 30",,"- - Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin in one peace",,,,,,
"51781","5","020230500080","020230000080","0202 30 50","0202 30",,"- - Crop, chuck and blade and brisket cuts","Frozen bovine boneless crop, chuck and blade and brisket cuts",,,,,,
"51782","5","020230900080","020230000080","0202 30 90","0202 30",,"- - Other","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin in one piece, crop, chuck and blade and brisket cuts)",,,,,,
"51783","3","020300000080","020020000090","0203","02",,"Meat of swine, fresh, chilled or frozen","Meat of swine, fresh, chilled or frozen",,,,,,
"51784","4","020311000010","020300000080",,"0203",,"- Fresh or chilled",,,,,,,
"51785","5","020311000080","020311000010","0203 11",,,"- - Carcases and half-carcases","Fresh or chilled carcases and half-carcases of swine",,,,,,
"51786","6","020311100080","020311000080","0203 11 10","0203 11",,"- - - Of domestic swine","Fresh or chilled domestic swine carcases and half-carcases",,,,,,
"51787","6","020311900080","020311000080","0203 11 90","0203 11",,"- - - Other","Fresh or chilled non-domestic swine carcases and half-carcases",,,,,,
"51788","5","020312000080","020311000010","0203 12",,,"- - Hams, shoulders and cuts thereof, with bone in","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",,,,,,
"51789","6","020312110010","020312000080",,"0203 12",,"- - - Of domestic swine",,,,,,,
"51790","7","020312110080","020312110010","0203 12 11",,,"- - - - Hams and cuts thereof","Fresh or chilled with bone in, domestic swine hams and cuts thereof",,,,,,
"51791","7","020312190080","020312110010","0203 12 19",,,"- - - - Shoulders and cuts thereof","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof",,,,,,
"51792","6","020312900080","020312000080","0203 12 90","0203 12",,"- - - Other","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine",,,,,,
"51793","5","020319000080","020311000010","0203 19",,,"- - Other","Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",,,,,,
"51794","6","020319110010","020319000080",,"0203 19",,"- - - Of domestic swine",,,,,,,
"51795","7","020319110080","020319110010","0203 19 11",,,"- - - - Fore-ends and cuts thereof","Fresh or chilled fore-ends and cuts thereof of domestic swine",,,,,,
"51796","7","020319130080","020319110010","0203 19 13",,,"- - - - Loins and cuts thereof, with bone in","Fresh or chilled loins and cuts thereof of domestic swine",,,,,,
"51797","7","020319150080","020319110010","0203 19 15",,,"- - - - Bellies (streaky) and cuts thereof","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine",,,,,,
"51798","7","020319550010","020319110010",,,,"- - - - Other",,,,,,,
"51799","8","020319550080","020319550010","0203 19 55",,,"- - - - - Boneless","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)",,,,,,
"51800","8","020319590080","020319550010","0203 19 59",,,"- - - - - Other","Fresh or chilled boneless meat of domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",,,,,,
"51801","6","020319900080","020319000080","0203 19 90","0203 19",,"- - - Other","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, boneless)",,,,,,
"51802","4","020321000010","020300000080",,"0203",,"- Frozen",,,,,,,
"51803","5","020321000080","020321000010","0203 21",,,"- - Carcases and half-carcases","Frozen carcases and half-carcases of swine",,,,,,
"51804","6","020321100080","020321000080","0203 21 10","0203 21",,"- - - Of domestic swine","Frozen domestic swine carcases and half-carcases",,,,,,
"51805","6","020321900080","020321000080","0203 21 90","0203 21",,"- - - Other","Frozen non-domestic swine carcases and half-carcases",,,,,,
"51806","5","020322000080","020321000010","0203 22",,,"- - Hams, shoulders and cuts thereof, with bone in","Frozen hams, shoulders and cuts thereof of swine, boneless",,,,,,
"51807","6","020322110010","020322000080",,"0203 22",,"- - - Of domestic swine",,,,,,,
"51808","7","020322110080","020322110010","0203 22 11",,,"- - - - Hams and cuts thereof","Frozen boneless hams and cuts thereof of domestic swine",,,,,,
"51809","7","020322190080","020322110010","0203 22 19",,,"- - - - Shoulders and cuts thereof","Frozen boneless shoulders and cuts thereof of domestic swine",,,,,,
"51810","6","020322900080","020322000080","0203 22 90","0203 22",,"- - - Other","Frozen boneless hams, shoulders and cuts thereof of non-domestic swine",,,,,,
"51811","5","020329000080","020321000010","0203 29",,,"- - Other","Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)",,,,,,
"51812","6","020329110010","020329000080",,"0203 29",,"- - - Of domestic swine",,,,,,,
"51813","7","020329110080","020329110010","0203 29 11",,,"- - - - Fore-ends and cuts thereof","Frozen fore-ends and cuts thereof of domestic swine",,,,,,
"51814","7","020329130080","020329110010","0203 29 13",,,"- - - - Loins and cuts thereof, with bone in","Frozen loins and cuts thereof of domestic swine, with bone in",,,,,,
"51815","7","020329150080","020329110010","0203 29 15",,,"- - - - Bellies (streaky) and cuts thereof","Frozen bellies ""streaky"" and cuts thereof of domestic swine",,,,,,
"51816","7","020329550010","020329110010",,,,"- - - - Other",,,,,,,
"51817","8","020329550080","020329550010","0203 29 55",,,"- - - - - Boneless","Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)",,,,,,
"51818","8","020329590080","020329550010","0203 29 59",,,"- - - - - Other","Frozen boneless meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",,,,,,
"51819","6","020329900080","020329000080","0203 29 90","0203 29",,"- - - Other","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof)",,,,,,
"51820","3","020400000080","020020000090","0204","02",,"Meat of sheep or goats, fresh, chilled or frozen","Meat of sheep or goats, fresh, chilled or frozen",,,,,,
"51821","4","020410000080","020400000080","0204 10 00","0204",,"- Carcases and half-carcases of lamb, fresh or chilled","Fresh or chilled lamb carcases and half-carcases",,,,,,
"51822","4","020421000010","020400000080",,"0204",,"- Other meat of sheep, fresh or chilled",,,,,,,
"51823","5","020421000080","020421000010","0204 21 00",,,"- - Carcases and half-carcases","Fresh or chilled sheep carcases and half-carcases (excl. lambs)",,,,,,
"51824","5","020422000080","020421000010","0204 22",,,"- - Other cuts with bone in","Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",,,,,,
"51825","6","020422100080","020422000080","0204 22 10","0204 22",,"- - - Short forequarters","Fresh or chilled sheep short forequarters",,,,,,
"51826","6","020422300080","020422000080","0204 22 30","0204 22",,"- - - Chines and/or best ends","Fresh or chilled sheep chines and/or best ends",,,,,,
"51827","6","020422500080","020422000080","0204 22 50","0204 22",,"- - - Legs","Fresh or chilled sheep legs",,,,,,
"51828","6","020422900080","020422000080","0204 22 90","0204 22",,"- - - Other","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,,,,,
"51829","5","020423000080","020421000010","0204 23 00",,,"- - Boneless","Fresh or chilled boneless cuts of sheep",,,,,,
"51830","4","020430000080","020400000080","0204 30 00","0204",,"- Carcases and half-carcases of lamb, frozen","Frozen lamb carcases and half-carcases",,,,,,
"51831","4","020441000010","020400000080",,"0204",,"- Other meat of sheep, frozen",,,,,,,
"51832","5","020441000080","020441000010","0204 41 00",,,"- - Carcases and half-carcases","Frozen sheep carcases and half-carcases (excl. lambs)",,,,,,
"51833","5","020442000080","020441000010","0204 42",,,"- - Other cuts with bone in","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",,,,,,
