"Order","Level","Code","Parent","Code","Parent","Supplementary unit","Description","Self-explanatory texts","Description of supplementary unit","Unit","Explanatory notes","Unit","Illustration","Illustration"
"55429","3","252100000080","250020000090","2521 00 00","25",,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,
"55430","3","252200000080","250020000090","2522","25",,"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 2825","Quicklime, slaked lime and hydraulic lime (excl. pure calcium oxide and calcium hydroxide)",,,,,,
"55431","4","252210000080","252200000080","2522 10 00","2522",,"- Quicklime","Quicklime",,,,,,
"55432","4","252220000080","252200000080","2522 20 00","2522",,"- Slaked lime","Slaked lime",,,,,,
"55433","4","252230000080","252200000080","2522 30 00","2522",,"- Hydraulic lime","Hydraulic lime (excl. pure calcium oxide and calcium hydroxide)",,,,,,
"55434","3","252300000080","250020000090","2523","25",,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers","Cement, incl. cement clinkers, whether or not coloured",,,,,,
"55435","4","252310000080","252300000080","2523 10 00","2523",,"- Cement clinkers","Cement clinkers",,,,,,
"55436","4","252321000010","252300000080",,"2523",,"- Portland cement",,,,,,,
"55437","5","252321000080","252321000010","2523 21 00",,,"- - White cement, whether or not artificially coloured","White portland cement, whether or not artificially coloured",,,,,,
"55438","5","252329000080","252321000010","2523 29 00",,,"- - Other","Portland cement (excl. white, whether or not artificially coloured)",,,,,,
"55439","4","252330000080","252300000080","2523 30 00","2523",,"- Aluminous cement","Aluminous cement",,,,,,
"55440","4","252390000080","252300000080","2523 90","2523",,"- Other hydraulic cements","Cement, whether or not coloured (excl. aluminous cement and portland cement)",,,,,,
"55441","5","252390100080","252390000080","2523 90 10","2523 90",,"- - Blast furnace cement","Blast furnace cement",,,,,,
"55442","5","252390800080","252390000080","2523 90 80","2523 90",,"- - Other","Cement, whether or not coloured (excl. portland cement, aluminous cement and blast furnace cement)",,,,,,
"55443","3","252400000080","250020000090","2524 00","25",,"Asbestos","Asbestos (excl. products made from asbestos)",,,,,,
"55444","4","252400300080","252400000080","2524 00 30","2524 00",,"- Fibres, flakes or powder","Asbestos fibres, flakes or powder",,,,,,
"55445","4","252400800080","252400000080","2524 00 80","2524 00",,"- Other","Asbestos (excl. products made from asbestos and asbestos in the form of fibres, flakes and powder)",,,,,,
"55446","3","252500000080","250020000090","2525","25",,"Mica, including splittings; mica waste","Mica, whether or not rifted into sheets or splittings; mica waste",,,,,,
"55447","4","252510000080","252500000080","2525 10 00","2525",,"- Crude mica and mica rifted into sheets or splittings","Crude mica and mica rifted into sheets or splittings",,,,,,
"55448","4","252520000080","252500000080","2525 20 00","2525",,"- Mica powder","Mica powder",,,,,,
"55449","4","252530000080","252500000080","2525 30 00","2525",,"- Mica waste","Mica waste",,,,,,
"55450","3","252600000080","250020000090","2526","25",,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc","Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; talc",,,,,,
"55451","4","252610000080","252600000080","2526 10 00","2526",,"- Not crushed, not powdered","Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape, and talc, uncrushed or unpowdered",,,,,,
"55452","4","252620000080","252600000080","2526 20 00","2526",,"- Crushed or powdered","Natural steatite and talc, crushed or powdered",,,,,,
"55453","3","252800000080","250020000090","2528","25",,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight","Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excl. borates separated from natural brine)",,,,,,
"55454","4","252810000080","252800000080","2528 10 00","2528",,"- Natural sodium borates and concentrates thereof (whether or not calcined)","Sodium borates, natural, and concentrates thereof, whether or not calcined (excl. sodium borates separated from natural brine)",,,,,,
"55455","4","252890000080","252800000080","2528 90 00","2528",,"- Other","Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excl. sodium borates and concentrates thereof and borates separated from natural brine)",,,,,,
"55456","3","252900000080","250020000090","2529","25",,"Felspar; leucite; nepheline and nepheline syenite; fluorspar","Feldspar; leucite, nepheline and nepheline syenite; fluorspar",,,,,,
"55457","4","252910000080","252900000080","2529 10 00","2529",,"- Felspar","Feldspar",,,,,,
"55458","4","252921000010","252900000080",,"2529",,"- Fluorspar",,,,,,,
"55459","5","252921000080","252921000010","2529 21 00",,,"- - Containing by weight 97 % or less of calcium fluoride","Fluorspar containing by weight <= 97% calcium fluoride",,,,,,
"55460","5","252922000080","252921000010","2529 22 00",,,"- - Containing by weight more than 97 % of calcium fluoride","Fluorspar containing by weight > 97% calcium fluoride",,,,,,
"55461","4","252930000080","252900000080","2529 30 00","2529",,"- Leucite; nepheline and nepheline syenite","Leucite, nepheline and nepheline syenite",,,,,,
"55462","3","253000000080","250020000090","2530","25",,"Mineral substances not elsewhere specified or included","Vermiculite, perlite and other mineral substances, n.e.s.",,,,,,
"55463","4","253010000080","253000000080","2530 10","2530",,"- Vermiculite, perlite and chlorites, unexpanded","Vermiculite, perlite and chlorites, unexpanded",,,,,,
"55464","5","253010100080","253010000080","2530 10 10","2530 10",,"- - Perlite","Perlite, unexpanded",,,,,,
"55465","5","253010900080","253010000080","2530 10 90","2530 10",,"- - Vermiculite and chlorites","Vermiculite and chlorites, unexpanded",,,,,,
"55466","4","253020000080","253000000080","2530 20 00","2530",,"- Kieserite, epsomite (natural magnesium sulphates)","Kieserite and epsomite ""natural magnesium sulphates""",,,,,,
"55467","4","253090000080","253000000080","2530 90","2530",,"- Other","Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",,,,,,
"55468","5","253090200080","253090000080","2530 90 20","2530 90",,"- - Sepiolite","Sepiolite, natural or recycled",,,,,,
"55469","5","253090980080","253090000080","2530 90 98","2530 90",,"- - Other","Arsenic sulphide, alunite, pozzuolana and other mineral substances, n.e.s.",,,,,,
"55470","2","260020000090","250010000090","26"," V",,"CHAPTER 26 - ORES, SLAG AND ASH","ORES, SLAG AND ASH",,,,,,
"55471","3","260100000080","260020000090","2601","26",,"Iron ores and concentrates, including roasted iron pyrites","Iron ores and concentrates, incl. roasted iron pyrites",,,,,,
"55472","4","260111000010","260100000080",,"2601",,"- Iron ores and concentrates, other than roasted iron pyrites",,,,,,,
"55473","5","260111000080","260111000010","2601 11 00",,,"- - Non-agglomerated","Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",,,,,,
"55474","5","260112000080","260111000010","2601 12 00",,,"- - Agglomerated","Agglomerated iron ores and concentrates (excl. roasted iron pyrites)",,,,,,
"55475","4","260120000080","260100000080","2601 20 00","2601",,"- Roasted iron pyrites","Roasted iron pyrites",,,,,,
"55476","3","260200000080","260020000090","2602 00 00","26",,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight","Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a manganese content of >= 20%, calculated on the dry weight",,,,,,
"55477","3","260300000080","260020000090","2603 00 00","26",,"Copper ores and concentrates","Copper ores and concentrates",,,,,,
"55478","3","260400000080","260020000090","2604 00 00","26",,"Nickel ores and concentrates","Nickel ores and concentrates",,,,,,
"55479","3","260500000080","260020000090","2605 00 00","26",,"Cobalt ores and concentrates","Cobalt ores and concentrates",,,,,,
"55480","3","260600000080","260020000090","2606 00 00","26",,"Aluminium ores and concentrates","Aluminium ores and concentrates",,,,,,
"55481","3","260700000080","260020000090","2607 00 00","26",,"Lead ores and concentrates","Lead ores and concentrates",,,,,,
"55482","3","260800000080","260020000090","2608 00 00","26",,"Zinc ores and concentrates","Zinc ores and concentrates",,,,,,
"55483","3","260900000080","260020000090","2609 00 00","26",,"Tin ores and concentrates","Tin ores and concentrates",,,,,,
"55484","3","261000000080","260020000090","2610 00 00","26",,"Chromium ores and concentrates","Chromium ores and concentrates",,,,,,
"55485","3","261100000080","260020000090","2611 00 00","26",,"Tungsten ores and concentrates","Tungsten ores and concentrates",,,,,,
"55486","3","261200000080","260020000090","2612","26",,"Uranium or thorium ores and concentrates","Uranium or thorium ores and concentrates",,,,,,
"55487","4","261210000080","261200000080","2612 10","2612",,"- Uranium ores and concentrates","Uranium ores and concentrates",,,,,,
"55488","5","261210100080","261210000080","2612 10 10","2612 10",,"- - Uranium ores and pitchblende, and concentrates thereof, with a uranium content of more than 5 % by weight (Euratom)","Uranium ores and pitchblende, with a uranium content of > 5% by weight [Euratom]",,,,,,
"55489","5","261210900080","261210000080","2612 10 90","2612 10",,"- - Other","Uranium ores and concentrates (excl. uranium ores and pitchblende, with a uranium content of > 5% by weight)",,,,,,
"55490","4","261220000080","261200000080","2612 20","2612",,"- Thorium ores and concentrates","Thorium ores and concentrates",,,,,,
"55491","5","261220100080","261220000080","2612 20 10","2612 20",,"- - Monazite; urano-thorianite and other thorium ores and concentrates, with a thorium content of more than 20 % by weight (Euratom)","Monazite; urano-thorianite and other thorium ores, with a thorium content of > 20% by weight [Euratom]",,,,,,
"55492","5","261220900080","261220000080","2612 20 90","2612 20",,"- - Other","Thorium ores and concentrates (excl. monazite, urano-thorianite and other thorium ores, with a thorium content of > 20% by weight)",,,,,,
"55493","3","261300000080","260020000090","2613","26",,"Molybdenum ores and concentrates","Molybdenum ores and concentrates",,,,,,
"55494","4","261310000080","261300000080","2613 10 00","2613",,"- Roasted","Roasted molybdenum ores and concentrates",,,,,,
"55495","4","261390000080","261300000080","2613 90 00","2613",,"- Other","Molybdenum ores and concentrates (excl. roasted)",,,,,,
"55496","3","261400000080","260020000090","2614 00","26",,"Titanium ores and concentrates","Titanium ores and concentrates",,,,,,
"55497","4","261400100080","261400000080","2614 00 10","2614 00",,"- Ilmenite and concentrates thereof","Ilmenite and concentrates",,,,,,
"55498","4","261400900080","261400000080","2614 00 90","2614 00",,"- Other","Titanium ores and concentrates (excl. ilmenite and concentrates)",,,,,,
"55499","3","261500000080","260020000090","2615","26",,"Niobium, tantalum, vanadium or zirconium ores and concentrates","Niobium, tantalum, vanadium or zirconium ores and concentrates",,,,,,
"55500","4","261510000080","261500000080","2615 10 00","2615",,"- Zirconium ores and concentrates","Zirconium ores and concentrates",,,,,,
"55501","4","261590000080","261500000080","2615 90","2615",,"- Other","Niobium, tantalum or vanadium ores and concentrates",,,,,,
"55502","5","261590100080","261590000080","2615 90 10","2615 90",,"- - Niobium and tantalum ores and concentrates","Niobium and tantalum ores and concentrates",,,,,,
"55503","5","261590900080","261590000080","2615 90 90","2615 90",,"- - Vanadium ores and concentrates","Vanadium ores and concentrates",,,,,,
"55504","3","261600000080","260020000090","2616","26",,"Precious metal ores and concentrates","Precious-metal ores and concentrates",,,,,,
"55505","4","261610000080","261600000080","2616 10 00","2616",,"- Silver ores and concentrates","Silver ores and concentrates",,,,,,
"55506","4","261690000080","261600000080","2616 90 00","2616",,"- Other","Precious-metal ores and concentrates (excl. silver ores and oncentrates)",,,,,,
"55507","3","261700000080","260020000090","2617","26",,"Other ores and concentrates","Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium and precious-metal ores and concentrates)",,,,,,
"55508","4","261710000080","261700000080","2617 10 00","2617",,"- Antimony ores and concentrates","Antimony ores and concentrates",,,,,,
"55509","4","261790000080","261700000080","2617 90 00","2617",,"- Other","Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium, precious-metal or antimony ores and concentrates)",,,,,,
"55510","3","261800000080","260020000090","2618 00 00","26",,"Granulated slag (slag sand) from the manufacture of iron or steel","Granulated slag ""slag sand"" from the manufacture of iron or steel",,,,,,
"55511","3","261900000080","260020000090","2619 00","26",,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel","Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag)",,,,,,
"55512","4","261900200080","261900000080","2619 00 20","2619 00",,"- Waste suitable for the recovery of iron or manganese","Waste from the manufacture of iron or steel suitable for the recovery of iron or manganese",,,,,,
"55513","4","261900400080","261900000080","2619 00 40","2619 00",,"- Slag suitable for the extraction of titanium oxide","Slag from the manufacture of iron or steel suitable for the extraction of titanium oxide",,,,,,
"55514","4","261900800080","261900000080","2619 00 80","2619 00",,"- Other","Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag, waste suitable for the recovery of iron or manganese and slag suitable for the extraction of titanium oxide)",,,,,,
"55515","3","262000000080","260020000090","2620","26",,"Ash and residues (other than from the manufacture of iron or steel), containing arsenic, metals or their compounds","Ash and residues, containing arsenic, metals or metal compounds (excl. those from the manufacture of iron or steel)",,,,,,
"55516","4","262011000010","262000000080",,"2620",,"- Containing mainly zinc",,,,,,,
"55517","5","262011000080","262011000010","2620 11 00",,,"- - Hard zinc spelter","Hard zinc spelter",,,,,,
"55518","5","262019000080","262011000010","2620 19 00",,,"- - Other","Ash and residues containing mainly zinc (excl. hard zinc spelter)",,,,,,
"55519","4","262021000010","262000000080",,"2620",,"- Containing mainly lead",,,,,,,
"55520","5","262021000080","262021000010","2620 21 00",,,"- - Leaded gasoline sludges and leaded anti-knock compound sludges","Leaded gasoline sludges and leaded anti-knock compound sludges, obtained from storage tanks of leaded gasoline and leaded anti-knock compounds and containing mainly lead, lead compounds and iron oxide",,,,,,
"55521","5","262029000080","262021000010","2620 29 00",,,"- - Other","Ash and residues containing mainly lead (excl. leaded gasoline sludges and leaded anti-knock compound sludges)",,,,,,
"55522","4","262030000080","262000000080","2620 30 00","2620",,"- Containing mainly copper","Ash and residues containing mainly copper",,,,,,
"55523","4","262040000080","262000000080","2620 40 00","2620",,"- Containing mainly aluminium","Ash and residues containing mainly aluminium",,,,,,
"55524","4","262060000080","262000000080","2620 60 00","2620",,"- Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds","Ash and residues, containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds (excl. those from the manufacture of iron or steel)",,,,,,
"55525","4","262091000010","262000000080",,"2620",,"- Other",,,,,,,
"55526","5","262091000080","262091000010","2620 91 00",,,"- - Containing antimony, beryllium, cadmium, chromium or their mixtures","Ash and residues, containing antimony, beryllium, cadmium, chromium or their mixtures (excl. those from the manufacture of iron or steel)",,,,,,
"55527","5","262099000080","262091000010","2620 99",,,"- - Other","Ash and residues, containing metals or metal compounds (excl. those from the manufacture of iron or steel, those containing primarily zinc, lead, copper or aluminium, those containing arsenic, mercury, thallium or their mixtures of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds and those containing antimony, beryllium, cadmium, chromium or their mixtures)",,,,,,
"55528","6","262099100080","262099000080","2620 99 10","2620 99",,"- - - Containing mainly nickel","Ash and residues containing mainly nickel",,,,,,
"55529","6","262099200080","262099000080","2620 99 20","2620 99",,"- - - Containing mainly niobium and tantalum","Ash and residues containing mainly niobium or tantalum",,,,,,
"55530","6","262099400080","262099000080","2620 99 40","2620 99",,"- - - Containing mainly tin","Ash and residues containing mainly tin",,,,,,
"55531","6","262099600080","262099000080","2620 99 60","2620 99",,"- - - Containing mainly titanium","Ash and residues containing mainly titanium",,,,,,
"55532","6","262099950080","262099000080","2620 99 95","2620 99",,"- - - Other","Ash and residues containing metals or metal compounds (excl. those from the manufacture of iron or steel and those containing primarily zinc, lead, copper, aluminium, nickel, niobium, tantalum, tin or titanium, those containing arsenic, mercury, thallium or their mixtures of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds and those containing antimony, beryllium, cadmium, chromium or their mixtures)",,,,,,
"55533","3","262100000080","260020000090","2621","26",,"Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste","Slag and ash, incl. seaweed ash ""kelp""; ash and residues from the incineration of municipal waste (excl. slag, incl. granulated, from the manufacture of iron or steel and ashes and residues containing arsenic, metals or metal compounds)",,,,,,
"55534","4","262110000080","262100000080","2621 10 00","2621",,"- Ash and residues from the incineration of municipal waste","Ash and residues from the incineration of municipal waste",,,,,,
"55535","4","262190000080","262100000080","2621 90 00","2621",,"- Other","Slag and ash, incl. seaweed ash ""kelp"" (excl. slag, incl. granulated, from the manufacture of iron or steel, ashes and residues containing arsenic, metals or metal compounds and those from the incineration of municipal waste)",,,,,,
"55536","2","270020000090","250010000090","27"," V",,"CHAPTER 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES","MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",,,,,,
"55537","3","270100000080","270020000090","2701","27",,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal","Coal; briquettes, ovoids and similar solid fuels manufactured from coal",,,,,,
"55538","4","270111000010","270100000080",,"2701",,"- Coal, whether or not pulverised, but not agglomerated",,,,,,,
"55539","5","270111000080","270111000010","2701 11",,,"- - Anthracite","Anthracite, whether or not pulverised, non-agglomerated",,,,,,
"55540","6","270111100080","270111000080","2701 11 10","2701 11",,"- - - Having a volatile matter limit (on a dry, mineral-matter-free basis) not exceeding 10 %","Anthracite, whether or not pulverised, having a volatile matter limit of <= 10% on a dry, mineral-matter-free basis, non-agglomerated",,,,,,
"55541","6","270111900080","270111000080","2701 11 90","2701 11",,"- - - Other","Anthracite, whether or not pulverised, having a volatile matter limit of > 10% but <= 14% on a dry, mineral-matter-free basis, non-agglomerated",,,,,,
"55542","5","270112000080","270111000010","2701 12",,,"- - Bituminous coal","Bituminous coal, whether or not pulverised, non-agglomerated",,,,,,
"55543","6","270112100080","270112000080","2701 12 10","2701 12",,"- - - Coking coal","Coking coal, whether or not pulverised, non-agglomerated",,,,,,
"55544","6","270112900080","270112000080","2701 12 90","2701 12",,"- - - Other","Bituminous coal, whether or not pulverised, non-agglomerated (excl. coking)",,,,,,
"55545","5","270119000080","270111000010","2701 19 00",,,"- - Other coal","Coal, whether or not pulverised, non-agglomerated (excl. anthracite and bituminous coal)",,,,,,
"55546","4","270120000080","270100000080","2701 20 00","2701",,"- Briquettes, ovoids and similar solid fuels manufactured from coal","Briquettes, ovoids and similar solid fuels manufactured from coal",,,,,,
"55547","3","270200000080","270020000090","2702","27",,"Lignite, whether or not agglomerated, excluding jet","Lignite, whether or not agglomerated (excl. jet)",,,,,,
"55548","4","270210000080","270200000080","2702 10 00","2702",,"- Lignite, whether or not pulverised, but not agglomerated","Lignite, whether or not pulverised, non-agglomerated (excl. jet)",,,,,,
"55549","4","270220000080","270200000080","2702 20 00","2702",,"- Agglomerated lignite","Agglomerated lignite (excl. jet)",,,,,,
"55550","3","270300000080","270020000090","2703 00 00","27",,"Peat (including peat litter), whether or not agglomerated","Peat, incl. peat litter, whether or not agglomerated",,,,,,
"55551","3","270400000080","270020000090","2704 00","27",,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon","Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",,,,,,
"55552","4","270400110010","270400000080",,"2704 00",,"- Coke and semi-coke of coal",,,,,,,
"55553","5","270400110080","270400110010","2704 00 11",,,"- - For the manufacture of electrodes","Coke and semi-coke of coal, whether or not agglomerated, for the manufacture of electrodes",,,,,,
"55554","5","270400190080","270400110010","2704 00 19",,,"- - Other","Coke and semi-coke of coal, whether or not agglomerated (excl. for the manufacture of electrodes)",,,,,,
"55555","4","270400300080","270400000080","2704 00 30","2704 00",,"- Coke and semi-coke of lignite","Coke and semi-coke of lignite, whether or not agglomerated",,,,,,
"55556","4","270400900080","270400000080","2704 00 90","2704 00",,"- Other","Coke and semi-coke of peat, whether or not agglomerated; retort carbon",,,,,,
"55557","3","270500000080","270020000090","2705 00 00","27","1 000 m³","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","Coal gas, water gas, producer gas, lean gas and similar gases (excl. petroleum gases and other gaseous hydrocarbons)","Thousand cubic metres",,,,,
"55558","3","270600000080","270020000090","2706 00 00","27",,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars","Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, incl. reconstituted tars",,,,,,
"55559","3","270700000080","270020000090","2707","27",,"Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents",,,,,,
"55560","4","270710000080","270700000080","2707 10","2707",,"- Benzol (benzene)","Benzol ""benzene"" containing > 50% of benzene (excl. chemically defined)",,,,,,
"55561","5","270710100080","270710000080","2707 10 10","2707 10",,"- - For use as a power or heating fuel","Benzol ""benzene"" containing > 50% of benzene, for use as a power or heating fuels (excl. chemically defined)",,,,,,
"55562","5","270710900080","270710000080","2707 10 90","2707 10",,"- - For other purposes","Benzol ""benzene"" containing > 50% of benzene (excl. chemically defined and for power or heating fuels)",,,,,,
"55563","4","270720000080","270700000080","2707 20","2707",,"- Toluol (toluene)","Toluol ""toluene"" containing > 50% of toluene (excl. chemically defined)",,,,,,
"55564","5","270720100080","270720000080","2707 20 10","2707 20",,"- - For use as a power or heating fuel","Toluol ""toluene"" containing > 50% of toluene, for use as a power or heating fuels (excl. chemically defined)",,,,,,
"55565","5","270720900080","270720000080","2707 20 90","2707 20",,"- - For other purposes","Toluol ""toluene"" containing > 50% of toluene (excl. chemically defined and for power or heating fuels)",,,,,,
"55566","4","270730000080","270700000080","2707 30","2707",,"- Xylol (xylenes)","Xylol ""xylenes"" containing > 50% of xylenes (excl. chemically defined)",,,,,,
"55567","5","270730100080","270730000080","2707 30 10","2707 30",,"- - For use as a power or heating fuel","Xylol ""xylenes"" containing > 50% of xylenes, for use as a power or heating fuels (excl. chemically defined)",,,,,,
"55568","5","270730900080","270730000080","2707 30 90","2707 30",,"- - For other purposes","Xylol ""xylenes"" containing > 50% of xylenes (excl. chemically defined and for power or heating fuels)",,,,,,
"55569","4","270740000080","270700000080","2707 40 00","2707",,"- Naphthalene","Naphthalene containing > 50% of naphthalene (excl. chemically defined)",,,,,,
"55570","4","270750000080","270700000080","2707 50","2707",,"- Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ASTM D 86 method","Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method (excl. chemically defined compounds)",,,,,,
"55571","5","270750100080","270750000080","2707 50 10","2707 50",,"- - For use as power or heating fuels","Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method, for use as a power or heating fuels (excl. chemically defined compounds)",,,,,,
"55572","5","270750900080","270750000080","2707 50 90","2707 50",,"- - For other purposes","Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method (excl. chemically defined compounds and those for use as a power or heating fuels)",,,,,,
"55573","4","270760000080","270700000080","2707 60 00","2707",,"- Phenols","Phenols containing > 50% of phenols (excl. chemically defined)",,,,,,
"55574","4","270791000010","270700000080",,"2707",,"- Other",,,,,,,
"55575","5","270791000080","270791000010","2707 91 00",,,"- - Creosote oils","Creosote oils (excl. chemically defined)",,,,,,
"55576","5","270799000080","270791000010","2707 99",,,"- - Other","Oils and other products of the distillation of high temperature coal tars; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents (excl. chemically-defined compounds, benzol ""benzene"", toluol ""toluene"", xylol ""xylenes"", naphthalene, aromatic hydrocarbon mixtures of subheading 2707.50, phenols and creosote oils)",,,,,,
"55577","6","270799110010","270799000080",,"2707 99",,"- - - Crude oils",,,,,,,
"55578","7","270799110080","270799110010","2707 99 11",,,"- - - - Crude light oils of which 90 % or more by volume distils at temperatures of up to 200 °C","Crude light oils from the distillation of high temperature coal tars, of which >= 90% by volume distils at temperatures of up to 200°C (excl. chemically defined)",,,,,,
"55579","7","270799190080","270799110010","2707 99 19",,,"- - - - Other","Crude light oils from the distillation of high temperature coal tars (excl. those of which >= 90% by volume distils at temperatures of up to 200°C and chemically defined compounds)",,,,,,
"55580","6","270799300080","270799000080","2707 99 30","2707 99",,"- - - Sulphuretted toppings","Sulphuretted toppings from the first distillation of high temperature coal tars",,,,,,
"55581","6","270799500080","270799000080","2707 99 50","2707 99",,"- - - Basic products","Pyridine, quinoline, acridine, aniline bases and other basic products of the first distillation of high temperature coal tars, n.e.s.",,,,,,
"55582","6","270799700080","270799000080","2707 99 70","2707 99",,"- - - Anthracene","Anthracene (excl. chemically defined)",,,,,,
"55583","6","270799910010","270799000080",,"2707 99",,"- - - Other",,,,,,,
"55584","7","270799910080","270799910010","2707 99 91",,,"- - - - For the manufacture of the products of heading 2803","Oils and other products of the distillation of high temperature coal tars and similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, for the manufacture of carbon in heading 2803",,,,,,
"55585","7","270799990080","270799910010","2707 99 99",,,"- - - - Other","Oils and other products of the distillation of high temperature coal tars and similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, n.e.s.",,,,,,
"55586","3","270800000080","270020000090","2708","27",,"Pitch and pitch coke, obtained from coal tar or from other mineral tars","Pitch and pitch coke, obtained from coal tar or from other mineral tars",,,,,,
"55587","4","270810000080","270800000080","2708 10 00","2708",,"- Pitch","Pitch obtained from coal tar or from other mineral tars",,,,,,
"55588","4","270820000080","270800000080","2708 20 00","2708",,"- Pitch coke","Pitch coke obtained from coal tar or from other mineral tars",,,,,,
"55589","3","270900000080","270020000090","2709 00","27",,"Petroleum oils and oils obtained from bituminous minerals, crude","Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,
"55590","4","270900100080","270900000080","2709 00 10","2709 00",,"- Natural gas condensates","Natural gas condensates",,,,,,
"55591","4","270900900080","270900000080","2709 00 90","2709 00",,"- Other","Petroleum oils and oils obtained from bituminous minerals, crude (excl. natural gas condensates)",,,,,,
"55592","3","271000000080","270020000090","2710","27",,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals",,,,,,
"55593","4","271011000010","271000000080",,"2710",,"- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than waste oils",,,,,,,
"55594","5","271011000080","271011000010","2710 11",,,"- - Light oils and preparations","Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method""",,,,,,
"55595","6","271011110080","271011000080","2710 11 11","2710 11",,"- - - For undergoing a specific process","Light oils of petroleum or bituminous minerals for undergoing a specific process as defined in Additional Note 4 to chapter 27",,,,,,
