cn2003	notpc	hs6plus
"02101970"	0	"021019"
"02101981"	0	"021019"
"02101989"	0	"021019"
"02101990"	0	"021019"
"02102010"	0	"021020"
"02102090"	0	"021020"
"02109100"	0	"21"
"02109200"	0	"21"
"02109300"	0	"21"
"02109910"	0	"21"
"02109921"	0	"21"
"02109929"	0	"21"
"02109931"	0	"21"
"02109939"	0	"21"
"02109941"	0	"21"
"02109949"	0	"21"
"02109951"	0	"21"
"02109959"	0	"21"
"02109960"	0	"21"
"02109971"	0	"21"
"02109979"	0	"21"
"02109980"	0	"21"
"02109990"	0	"21"
"03011010"	1	""
"03011090"	1	""
"03019110"	1	""
"03019190"	1	""
"03019200"	1	""
"03019300"	1	""
"03019911"	1	""
"03019919"	1	""
"03019990"	1	""
"03021110"	1	""
"03021120"	1	""
"03021180"	1	""
"03021200"	1	""
"03021900"	1	""
"03022110"	1	""
"03022130"	1	""
"03022190"	1	""
"03022200"	1	""
"03022300"	1	""
"03022910"	1	""
"03022990"	1	""
"03023110"	1	""
"03023190"	1	""
"03023210"	1	""
"03023290"	1	""
"03023310"	1	""
"03023390"	1	""
"03023410"	1	""
"03023490"	1	""
"03023510"	1	""
"03023590"	1	""
"03023610"	1	""
"03023690"	1	""
"03023910"	1	""
"03023990"	1	""
"03024000"	1	""
"03025010"	1	""
"03025090"	1	""
"03026110"	1	""
"03026130"	1	""
"03026180"	1	""
"03026200"	1	""
"03026300"	1	""
"03026400"	1	""
"03026520"	1	""
"03026550"	1	""
"03026590"	1	""
"03026600"	1	""
"03026911"	1	""
"03026919"	1	""
"03026921"	1	""
"03026925"	1	""
"03026931"	1	""
"03026933"	1	""
"03026935"	1	""
"03026941"	1	""
"03026945"	1	""
"03026951"	1	""
"03026955"	1	""
"03026961"	1	""
"03026966"	1	""
"03026967"	1	""
"03026968"	1	""
"03026969"	1	""
"03026975"	1	""
"03026981"	1	""
"03026985"	1	""
"03026986"	1	""
"03026987"	1	""
"03026988"	1	""
"03026991"	1	""
"03026992"	1	""
"03026994"	1	""
"03026995"	1	""
"03026999"	1	""
"03027000"	0	"030270"
"03031100"	0	"886"
"03031900"	0	"886"
"03032110"	0	"886"
"03032120"	0	"886"
"03032180"	0	"886"
"03032200"	0	"886"
"03032900"	0	"886"
"03033110"	0	"886"
"03033130"	0	"886"
"03033190"	0	"886"
"03033200"	0	"886"
"03033300"	0	"886"
"03033910"	0	"886"
"03033920"	0	"886"
"03033930"	0	"886"
"03033980"	0	"886"
"03034111"	0	"886"
"03034113"	0	"886"
"03034119"	0	"886"
"03034190"	0	"886"
"03034212"	0	"886"
"03034218"	0	"886"
"03034232"	0	"886"
"03034238"	0	"886"
"03034252"	0	"886"
"03034258"	0	"886"
"03034290"	0	"886"
"03034311"	0	"886"
"03034313"	0	"886"
"03034319"	0	"886"
"03034390"	0	"886"
"03034411"	0	"886"
"03034413"	0	"886"
"03034419"	0	"886"
"03034490"	0	"886"
"03034511"	0	"886"
"03034513"	0	"886"
"03034519"	0	"886"
"03034590"	0	"886"
"03034611"	0	"886"
"03034613"	0	"886"
"03034619"	0	"886"
"03034690"	0	"886"
"03034931"	0	"886"
"03034933"	0	"886"
"03034939"	0	"886"
"03034980"	0	"886"
"03035000"	0	"886"
