cn2003	pc2003	many_one	one_many	many_many	simple	pc8plus	synthetic	_merge
"04031019"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039053"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039031"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039063"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039073"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039069"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039061"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031013"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039059"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039019"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039071"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031011"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031033"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039079"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039013"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031031"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039033"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031051"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031039"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031059"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04039039"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"04031053"	"155152Z1"	1	0	0	0	"155152Z1"	0	1
"23099033"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099049"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099059"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099020"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099031"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099039"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099041"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099070"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099091"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099095"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099099"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099043"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099053"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099035"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099010"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"23099051"	"157010Z3"	1	0	0	0	"157010Z3"	0	1
"55061000"	"171030Q0"	0	0	1	0	"1552"	1	1
"55063000"	"171030Q0"	0	0	1	0	"1552"	1	1
"55069010"	"171030Q0"	0	0	1	0	"1552"	1	1
"55070000"	"171030Q0"	0	0	1	0	"1552"	1	1
"55069090"	"171030Q0"	0	0	1	0	"1552"	1	1
"55062000"	"171030Q0"	0	0	1	0	"1552"	1	1
"51061090"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51062010"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51062099"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51061010"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51081010"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51081090"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51062091"	"171042Z1"	1	0	0	0	"171042Z1"	0	1
"51072091"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51082010"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51072051"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51072010"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51072030"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51072059"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51082090"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51072099"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51071010"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"51071090"	"171042Z2"	1	0	0	0	"171042Z2"	0	1
"52053300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063500"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061510"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52051590"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061400"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52061300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52053200"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063300"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
"52063400"	"171043Z1"	1	0	0	0	"171043Z1"	0	1
