pc8	pc8plus	exit	year	synthetic
7101000	345.2008		2008	1
7101000	345.2008		2009	1
7101000	345.2008		2010	1
7291100	388.2008		2008	1
7291100	388.2008		2009	1
7291100	388.2008		2010	1
7291200	389.2008		2008	1
7291200	389.2008		2009	1
7291200	389.2008		2010	1
7291300	390.2008		2008	1
7291300	390.2008		2009	1
7291300	390.2008		2010	1
7291400	391.2008		2008	1
7291400	391.2008		2009	1
7291400	391.2008		2010	1
7291500	346.2008		2008	1
7291500	346.2008		2009	1
7291500	346.2008		2010	1
7291900	347.2008		2008	1
7291900	347.2008		2009	1
7291900	347.2008		2010	1
8111133	392.2008		2008	1
8111133	392.2008		2009	1
8111133	392.2008		2010	1
8111136	348.2008		2008	1
8111136	348.2008		2009	1
8111136	348.2008		2010	1
8111150	393.2008		2008	1
8111150	393.2008		2009	1
8111150	393.2008		2010	1
8111233	394.2008		2008	1
8111233	394.2008		2009	1
8111233	394.2008		2010	1
8111236	349.2008		2008	1
8111236	349.2008		2009	1
8111236	349.2008		2010	1
8111250	8.2007		2008	1
8111250	8.2007		2009	1
8111250	8.2007		2010	1
8111290	354.2008		2008	1
8111290	354.2008		2009	1
8111290	354.2008		2010	1
8112030	396.2008		2008	1
8112030	396.2008		2009	1
8112030	396.2008		2010	1
8112050	397.2008		2008	1
8112050	397.2008		2009	1
8112050	397.2008		2010	1
8113010	398.2008		2008	1
8113010	398.2008		2009	1
8113010	398.2008		2010	1
8113030	399.2008		2008	1
8113030	399.2008		2009	1
8113030	399.2008		2010	1
8114000	402.2008		2008	1
8114000	402.2008		2009	1
8114000	402.2008		2010	1
8121150	403.2008		2008	1
8121150	403.2008		2009	1
8121150	403.2008		2010	1
8121190	404.2008		2008	1
8121190	404.2008		2009	1
8121190	404.2008		2010	1
8121210	405.2008		2008	1
8121210	405.2008		2009	1
8121210	405.2008		2010	1
8121230	406.2008		2008	1
8121230	406.2008		2009	1
8121230	406.2008		2010	1
8121250	407.2008		2008	1
8121250	407.2008		2009	1
8121250	407.2008		2010	1
8121290	408.2008		2008	1
8121290	408.2008		2009	1
8121290	408.2008		2010	1
8121300	409.2008		2008	1
8121300	409.2008		2009	1
8121300	409.2008		2010	1
8122140	411.2008		2008	1
8122140	411.2008		2009	1
8122140	411.2008		2010	1
8122160	412.2008		2008	1
8122160	412.2008		2009	1
8122160	412.2008		2010	1
8122210	413.2008		2008	1
8122210	413.2008		2009	1
8122210	413.2008		2010	1
8122230	414.2008		2008	1
8122230	414.2008		2009	1
8122230	414.2008		2010	1
8122250	9.2007		2008	1
8122250	9.2007		2009	1
8122250	9.2007		2010	1
8911100	416.2008		2008	1
8911100	416.2008		2009	1
8911100	416.2008		2010	1
8911200	350.2008		2008	1
8911200	350.2008		2009	1
8911200	350.2008		2010	1
8911900	351.2008		2008	1
8911900	351.2008		2009	1
8911900	351.2008		2010	1
8931000	2.2008		2008	1
8931000	2.2008		2009	1
8931000	2.2008		2010	1
8991000	417.2008		2008	1
8991000	417.2008		2009	1
8991000	417.2008		2010	1
8992100	352.2008		2008	1
8992100	352.2008		2009	1
8992100	352.2008		2010	1
8992200	353.2008		2008	1
8992200	353.2008		2009	1
8992200	353.2008		2010	1
8992900	354.2008		2008	1
8992900	354.2008		2009	1
8992900	354.2008		2010	1
10101130	1.2004	1	2003	1
10101130	1.2004	1	2004	1
10101150	1.2004	1	2003	1
10101150	1.2004	1	2004	1
10101200	1.2004	1	2003	1
