pc8	pc8plus	exit	year	synthetic
10101130	1.1996	1	1999	1
10101130	1.1996	1	2000	1
10101130	1.1996	1	2001	1
10101130	1.1996	1	2002	1
10101130	1.1996	1	2003	1
10101150	1.1996	1	1999	1
10101150	1.1996	1	2000	1
10101150	1.1996	1	2001	1
10101150	1.1996	1	2002	1
10101150	1.1996	1	2003	1
10101200	1.1996	1	1999	1
10101200	1.1996	1	2000	1
10101200	1.1996	1	2001	1
10101200	1.1996	1	2002	1
10101200	1.1996	1	2003	1
10201030	1.1996	1	1999	1
10201030	1.1996	1	2000	1
10201030	1.1996	1	2001	1
10201030	1.1996	1	2002	1
10201030	1.1996	1	2003	1
10201050	1.1996	1	1999	1
10201050	1.1996	1	2000	1
10201050	1.1996	1	2001	1
10201050	1.1996	1	2002	1
10201050	1.1996	1	2003	1
10301000	1.1996	1	1999	1
10301000	1.1996	1	2000	1
10301000	1.1996	1	2001	1
10301000	1.1996	1	2002	1
10301000	1.1996	1	2003	1
11101030	1.1996	1	1999	1
11101030	1.1996	1	2000	1
11101030	1.1996	1	2001	1
11101030	1.1996	1	2002	1
11101030	1.1996	1	2003	1
11101050	1.1996	1	1999	1
11101050	1.1996	1	2000	1
11101050	1.1996	1	2001	1
11101050	1.1996	1	2002	1
11101050	1.1996	1	2003	1
11102000	1.1996	1	1999	1
11102000	1.1996	1	2000	1
11102000	1.1996	1	2001	1
11102000	1.1996	1	2002	1
11102000	1.1996	1	2003	1
11104000	1.1996	1	1999	1
11104000	1.1996	1	2000	1
11104000	1.1996	1	2001	1
11104000	1.1996	1	2002	1
11104000	1.1996	1	2003	1
13101030	13101030		1995	0
13101030	13101030		1996	0
13101030	13101030		1997	0
13101030	13101030		1998	0
13101030	13101030		1999	0
13101030	13101030		2000	0
13101030	13101030		2001	0
13101030	13101030		2002	0
13101030	13101030		2003	0
13101050	13101050		1995	0
13101050	13101050		1996	0
13101050	13101050		1997	0
13101050	13101050		1998	0
13101050	13101050		1999	0
13101050	13101050		2000	0
13101050	13101050		2001	0
13101050	13101050		2002	0
13101050	13101050		2003	0
13201100	13201100		1995	0
13201100	13201100		1996	0
13201100	13201100		1997	0
13201100	13201100		1998	0
13201100	13201100		1999	0
13201100	13201100		2000	0
13201100	13201100		2001	0
13201100	13201100		2002	0
13201100	13201100		2003	0
13201200	13201200		1995	0
13201200	13201200		1996	0
13201200	13201200		1997	0
13201200	13201200		1998	0
13201200	13201200		1999	0
13201200	13201200		2000	0
13201200	13201200		2001	0
13201200	13201200		2002	0
13201200	13201200		2003	0
13201300	13201300		1995	0
13201300	13201300		1996	0
13201300	13201300		1997	0
13201300	13201300		1998	0
13201300	13201300		1999	0
13201300	13201300		2000	0
13201300	13201300		2001	0
13201300	13201300		2002	0
13201300	13201300		2003	0
13201400	13201400		1995	0
13201400	13201400		1996	0
13201400	13201400		1997	0
13201400	13201400		1998	0
13201400	13201400		1999	0
13201400	13201400		2000	0
13201400	13201400		2001	0
13201400	13201400		2002	0
13201400	13201400		2003	0
13201530	13201530		1995	0
13201530	13201530		1996	0
13201530	13201530		1997	0
13201530	13201530		1998	0
13201530	13201530		1999	0
13201530	13201530		2000	0
13201530	13201530		2001	0
13201530	13201530		2002	0
13201530	13201530		2003	0
13201550	13201550		1995	0
13201550	13201550		1996	0
13201550	13201550		1997	0
13201550	13201550		1998	0
13201550	13201550		1999	0
13201550	13201550		2000	0
13201550	13201550		2001	0
13201550	13201550		2002	0
13201550	13201550		2003	0
13201570	13201570		1995	0
13201570	13201570		1996	0
13201570	13201570		1997	0
13201570	13201570		1998	0
13201570	13201570		1999	0
13201570	13201570		2000	0
13201570	13201570		2001	0
13201570	13201570		2002	0
13201570	13201570		2003	0
13201630	13201630		1995	0
13201630	13201630		1996	0
13201630	13201630		1997	0
13201630	13201630		1998	0
13201630	13201630		1999	0
13201630	13201630		2000	0
13201630	13201630		2001	0
13201630	13201630		2002	0
13201630	13201630		2003	0
13201650	13201650		1995	0
13201650	13201650		1996	0
13201650	13201650		1997	0
13201650	13201650		1998	0
13201650	13201650		1999	0
13201650	13201650		2000	0
13201650	13201650		2001	0
13201650	13201650		2002	0
13201650	13201650		2003	0
13201690	13201690		1995	0
13201690	13201690		1996	0
13201690	13201690		1997	0
13201690	13201690		1998	0
13201690	13201690		1999	0
13201690	13201690		2000	0
13201690	13201690		2001	0
13201690	13201690		2002	0
13201690	13201690		2003	0
14111133	14111133		1995	0
14111133	14111133		1996	0
14111133	14111133		1997	0
14111133	14111133		1998	0
14111133	14111133		1999	0
14111133	14111133		2000	0
14111133	14111133		2001	0
14111133	14111133		2002	0
14111133	14111133		2003	0
14111135	14111135		1995	0
14111135	14111135		1996	0
14111135	14111135		1997	0
14111135	14111135		1998	0
14111135	14111135		1999	0
14111135	14111135		2000	0
14111135	14111135		2001	0
14111135	14111135		2002	0
14111135	14111135		2003	0
14111137	14111137		1995	0
14111137	14111137		1996	0
14111137	14111137		1997	0
14111137	14111137		1998	0
14111137	14111137		1999	0
14111137	14111137		2000	0
14111137	14111137		2001	0
14111137	14111137		2002	0
14111137	14111137		2003	0
14111150	14111150		1995	0
14111150	14111150		1996	0
14111150	14111150		1997	0
14111150	14111150		1998	0
14111150	14111150		1999	0
14111150	14111150		2000	0
14111150	14111150		2001	0
14111150	14111150		2002	0
14111150	14111150		2003	0
14111233	14111233		1995	0
14111233	14111233		1996	0
14111233	14111233		1997	0
14111233	14111233		1998	0
14111233	14111233		1999	0
14111233	14111233		2000	0
14111233	14111233		2001	0
14111233	14111233		2002	0
14111233	14111233		2003	0
14111235	14111235		1995	0
14111235	14111235		1996	0
14111235	14111235		1997	0
14111235	14111235		1998	0
14111235	14111235		1999	0
14111235	14111235		2000	0
14111235	14111235		2001	0
