pc8	pc8plus	exit	year	synthetic
7101000	351.2008		2008	1
7101000	351.2008		2009	1
7101000	351.2008		2010	1
7291100	394.2008		2008	1
7291100	394.2008		2009	1
7291100	394.2008		2010	1
7291200	395.2008		2008	1
7291200	395.2008		2009	1
7291200	395.2008		2010	1
7291300	396.2008		2008	1
7291300	396.2008		2009	1
7291300	396.2008		2010	1
7291400	397.2008		2008	1
7291400	397.2008		2009	1
7291400	397.2008		2010	1
7291500	352.2008		2008	1
7291500	352.2008		2009	1
7291500	352.2008		2010	1
7291900	353.2008		2008	1
7291900	353.2008		2009	1
7291900	353.2008		2010	1
8111133	398.2008		2008	1
8111133	398.2008		2009	1
8111133	398.2008		2010	1
8111136	354.2008		2008	1
8111136	354.2008		2009	1
8111136	354.2008		2010	1
8111150	399.2008		2008	1
8111150	399.2008		2009	1
8111150	399.2008		2010	1
8111233	400.2008		2008	1
8111233	400.2008		2009	1
8111233	400.2008		2010	1
8111236	355.2008		2008	1
8111236	355.2008		2009	1
8111236	355.2008		2010	1
8111250	2.2		2008	1
8111250	2.2		2009	1
8111250	2.2		2010	1
8111290	360.2008		2008	1
8111290	360.2008		2009	1
8111290	360.2008		2010	1
8112030	402.2008		2008	1
8112030	402.2008		2009	1
8112030	402.2008		2010	1
8112050	403.2008		2008	1
8112050	403.2008		2009	1
8112050	403.2008		2010	1
8113010	404.2008		2008	1
8113010	404.2008		2009	1
8113010	404.2008		2010	1
8113030	405.2008		2008	1
8113030	405.2008		2009	1
8113030	405.2008		2010	1
8114000	408.2008		2008	1
8114000	408.2008		2009	1
8114000	408.2008		2010	1
8121150	409.2008		2008	1
8121150	409.2008		2009	1
8121150	409.2008		2010	1
8121190	410.2008		2008	1
8121190	410.2008		2009	1
8121190	410.2008		2010	1
8121210	411.2008		2008	1
8121210	411.2008		2009	1
8121210	411.2008		2010	1
8121230	412.2008		2008	1
8121230	412.2008		2009	1
8121230	412.2008		2010	1
8121250	413.2008		2008	1
8121250	413.2008		2009	1
8121250	413.2008		2010	1
8121290	414.2008		2008	1
8121290	414.2008		2009	1
8121290	414.2008		2010	1
8121300	415.2008		2008	1
8121300	415.2008		2009	1
8121300	415.2008		2010	1
8122140	417.2008	1	2008	1
8122140	417.2008	1	2009	1
8122140	417.2008	1	2010	1
8122160	418.2008	1	2008	1
8122160	418.2008	1	2009	1
8122160	418.2008	1	2010	1
8122210	419.2008		2008	1
8122210	419.2008		2009	1
8122210	419.2008		2010	1
8122230	420.2008		2008	1
8122230	420.2008		2009	1
8122230	420.2008		2010	1
8122250	9.2007		2008	1
8122250	9.2007		2009	1
8122250	9.2007		2010	1
8911100	422.2008		2008	1
8911100	422.2008		2009	1
8911100	422.2008		2010	1
8911200	356.2008		2008	1
8911200	356.2008		2009	1
8911200	356.2008		2010	1
8911900	4.2002		2008	1
8911900	4.2002		2009	1
8911900	4.2002		2010	1
8931000	2.2008		2008	1
8931000	2.2008		2009	1
8931000	2.2008		2010	1
8991000	423.2008		2008	1
8991000	423.2008		2009	1
8991000	423.2008		2010	1
8992100	358.2008		2008	1
8992100	358.2008		2009	1
8992100	358.2008		2010	1
8992200	359.2008		2008	1
8992200	359.2008		2009	1
8992200	359.2008		2010	1
8992900	360.2008		2008	1
8992900	360.2008		2009	1
8992900	360.2008		2010	1
10101130	1.1994	1	1999	1
10101130	1.1994	1	2000	1
10101130	1.1994	1	2001	1
10101130	1.1994	1	2002	1
10101130	1.1994	1	2003	1
10101130	1.1994	1	2004	1
10101150	1.1994	1	1999	1
10101150	1.1994	1	2000	1
10101150	1.1994	1	2001	1
10101150	1.1994	1	2002	1
10101150	1.1994	1	2003	1
10101150	1.1994	1	2004	1
10101200	1.1994	1	1999	1
10101200	1.1994	1	2000	1
10101200	1.1994	1	2001	1
10101200	1.1994	1	2002	1
10101200	1.1994	1	2003	1
10101200	1.1994	1	2004	1
10111140	424.2008		2008	1
10111140	424.2008		2009	1
10111140	424.2008		2010	1
10111190	425.2008		2008	1
10111190	425.2008		2009	1
10111190	425.2008		2010	1
10111230	427.2008		2008	1
10111230	427.2008		2009	1
10111230	427.2008		2010	1
10111250	428.2008		2008	1
10111250	428.2008		2009	1
10111250	428.2008		2010	1
10111290	429.2008		2008	1
10111290	429.2008		2009	1
10111290	429.2008		2010	1
10111300	433.2008		2008	1
10111300	433.2008		2009	1
10111300	433.2008		2010	1
10111400	3.2008		2008	1
10111400	3.2008		2009	1
10111400	3.2008		2010	1
10111500	4.2008		2008	1
10111500	4.2008		2009	1
10111500	4.2008		2010	1
10112000	5.2008		2008	1
10112000	5.2008		2009	1
10112000	5.2008		2010	1
10113100	426.2008		2008	1
10113100	426.2008		2009	1
10113100	426.2008		2010	1
10113230	430.2008		2008	1
10113230	430.2008		2009	1
10113230	430.2008		2010	1
10113250	431.2008		2008	1
10113250	431.2008		2009	1
10113250	431.2008		2010	1
10113290	432.2008		2008	1
10113290	432.2008		2009	1
10113290	432.2008		2010	1
10113300	434.2008		2008	1
10113300	434.2008		2009	1
10113300	434.2008		2010	1
10113400	3.2008		2008	1
10113400	3.2008		2009	1
10113400	3.2008		2010	1
10113500	4.2008		2008	1
10113500	4.2008		2009	1
10113500	4.2008		2010	1
10113910	5.2008		2008	1
10113910	5.2008		2009	1
10113910	5.2008		2010	1
10113930	461.2008		2008	1
10113930	461.2008		2009	1
10113930	461.2008		2010	1
10114100	435.2008		2008	1
10114100	435.2008		2009	1
10114100	435.2008		2010	1
10114200	2.2003		2008	1
10114200	2.2003		2009	1
10114200	2.2003		2010	1
10114300	2.2003		2008	1
10114300	2.2003		2009	1
10114300	2.2003		2010	1
10114400	26.2003		2008	1
10114400	26.2003		2009	1
10114400	26.2003		2010	1
10114500	27.2003		2008	1
10114500	27.2003		2009	1
10114500	27.2003		2010	1
10115040	14.2003		2008	1
10115040	14.2003		2009	1
10115040	14.2003		2010	1
10115060	14.2003		2008	1
10115060	14.2003		2009	1
10115060	14.2003		2010	1
10115070	442.2008		2008	1
10115070	442.2008		2009	1
10115070	442.2008		2010	1
10116030	4.1995		2008	1
10116030	4.1995		2009	1
10116030	4.1995		2010	1
10116090	444.2008	1	2008	1
10116090	444.2008	1	2009	1
10116090	444.2008	1	2010	1
10121010	445.2008		2008	1
10121010	445.2008		2009	1
10121010	445.2008		2010	1
10121020	446.2008		2008	1
10121020	446.2008		2009	1
10121020	446.2008		2010	1
10121030	447.2008		2008	1
10121030	447.2008		2009	1
10121030	447.2008		2010	1
10121040	448.2008		2008	1
10121040	448.2008		2009	1
10121040	448.2008		2010	1
10121050	449.2008		2008	1
10121050	449.2008		2009	1
10121050	449.2008		2010	1
10121060	450.2008		2008	1
10121060	450.2008		2009	1
10121060	450.2008		2010	1
10121070	451.2008		2008	1
10121070	451.2008		2009	1
10121070	451.2008		2010	1
10122013	453.2008		2008	1
10122013	453.2008		2009	1
10122013	453.2008		2010	1
10122015	454.2008		2008	1
10122015	454.2008		2009	1
10122015	454.2008		2010	1
10122017	455.2008		2008	1
10122017	455.2008		2009	1
10122017	455.2008		2010	1
10122053	456.2008		2008	1
10122053	456.2008		2009	1
10122053	456.2008		2010	1
10122055	457.2008		2008	1
10122055	457.2008		2009	1
10122055	457.2008		2010	1
10122057	458.2008		2008	1
10122057	458.2008		2009	1
10122057	458.2008		2010	1
10122080	460.2008		2008	1
10122080	460.2008		2009	1
10122080	460.2008		2010	1
