new_code;type;pc2003;;;;;;;;;;;;;;;;
221121Z1;aggregate;22112130;;;;;;;;;;;;;;;;
221121Z1;aggregate;22112140;;;;;;;;;;;;;;;;
221121Z1;aggregate;22112150;;;;;;;;;;;;;;;;
221121Z1;aggregate;22112160;;;;;;;;;;;;;;;;
242011Z2;aggregate;24201120;;;;;;;;;;;;;;;;
242011Z2;aggregate;24201170;;;;;;;;;;;;;;;;
242011Z2;aggregate;24201190;;;;;;;;;;;;;;;;
242015Z2;aggregate;24201573;;;;;;;;;;;;;;;;
242015Z2;aggregate;24201575;;;;;;;;;;;;;;;;
242015Z2;aggregate;24201579;;;;;;;;;;;;;;;;
252130Z0;aggregate;25213071;;;;;;;;;;;;;;;;
252130Z0;aggregate;25213072;;;;;;;;;;;;;;;;
261313Z0;aggregate;26131370;;;;;;;;;;;;;;;;
261313Z0;aggregate;26131380;;;;;;;;;;;;;;;;
266013Z1;aggregate;26611300;;;;;;;;;;;;;;;;
266013Z1;aggregate;26661200;;;;;;;;;;;;;;;;
271031Z0;aggregate;27103121;;;;;;;;;;;;;;;;
271031Z0;aggregate;27103122;;;;;;;;;;;;;;;;
271032Z0;aggregate;27103221;;;;;;;;;;;;;;;;
271032Z0;aggregate;27103222;;;;;;;;;;;;;;;;
271033Z0;aggregate;27103321;;;;;;;;;;;;;;;;
271033Z0;aggregate;27103322;;;;;;;;;;;;;;;;
271041Z5;aggregate;27104111;;;;;;;;;;;;;;;;
271041Z5;aggregate;27104112;;;;;;;;;;;;;;;;
271041Z6;aggregate;27104121;;;;;;;;;;;;;;;;
271041Z6;aggregate;27104122;;;;;;;;;;;;;;;;
271071Z0;aggregate;27107111;;;;;;;;;;;;;;;;
271071Z0;aggregate;27107112;;;;;;;;;;;;;;;;
273210Z5;aggregate;27321011;;;;;;;;;;;;;;;;
273210Z5;aggregate;27321012;;;;;;;;;;;;;;;;
273210Z5;aggregate;27321014;;;;;;;;;;;;;;;;
273210Z5;aggregate;27321016;;;;;;;;;;;;;;;;
273210Z5;aggregate;27321022;;;;;;;;;;;;;;;;
273210Z6;aggregate;27321018;;;;;;;;;;;;;;;;
273210Z6;aggregate;27321028;;;;;;;;;;;;;;;;
273210Z7;aggregate;27322014;;;;;;;;;;;;;;;;
273210Z7;aggregate;27322016;;;;;;;;;;;;;;;;
273210Z7;aggregate;27322022;;;;;;;;;;;;;;;;
273210Z7;aggregate;27322024;;;;;;;;;;;;;;;;
273210Z8;aggregate;27322018;;;;;;;;;;;;;;;;
273210Z8;aggregate;27322026;;;;;;;;;;;;;;;;
294234Z0;aggregate;29423453;;;;;;;;;;;;;;;;
294234Z0;aggregate;29423455;;;;;;;;;;;;;;;;
294234Z0;aggregate;29423490;;;;;;;;;;;;;;;;
351121Z1;aggregate;35112133;;;;;;;;;;;;;;;;
351121Z1;aggregate;35112135;;;;;;;;;;;;;;;;
351122Z1;aggregate;35112233;;;;;;;;;;;;;;;;
351122Z1;aggregate;35112235;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112410;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112420;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112430;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112440;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112450;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112460;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112473;;;;;;;;;;;;;;;;
351124Z1;aggregate;35112475;;;;;;;;;;;;;;;;
351133Z1;aggregate;35113353;;;;;;;;;;;;;;;;
351133Z1;aggregate;35113355;;;;;;;;;;;;;;;;
399900Z0;aggregate;25232000;;;;;;;;;;;;;;;;
399900Z0;aggregate;26612000;;;;;;;;;;;;;;;;
399900Z0;aggregate;28111050;;;;;;;;;;;;;;;;
401110Z1;aggregate;40111020;;;;;;;;;;;;;;;;
401110Z1;aggregate;40111030;;;;;;;;;;;;;;;;
401110Z1;aggregate;40111050;;;;;;;;;;;;;;;;
401110Z1;aggregate;40111072;;;;;;;;;;;;;;;;
401110Z1;aggregate;40111073;;;;;;;;;;;;;;;;
401110Z1;aggregate;40111075;;;;;;;;;;;;;;;;
